"id","title","authors","year","venue","search_strings","doi","abstract","keywords","citations"
"42","Research on False Data Injection Attack Detection in Renewable Energy Grid Integration Based on Spatiotemporal Graph Neural Networks","J. Yuan; D. Ma","2025","2025 Third International Conference on Cyber-Energy Systems and Intelligent Energy (ICCSIE)","S3","10.1109/ICCSIE67394.2025.11377791","In recent years, the large-scale integration of renewable energy sources such as wind and solar power has posed increasingly severe security challenges to power systems. The inherent uncertainty in wind turbine and photovoltaic (PV) output significantly heightens the difficulty of detecting false data injection attacks (FDIA). Addressing the stealthiness and complexity of FDIA in scenarios involving renewable energy integration, this paper constructs a power grid model incorporating wind and solar resources, designs and generates a dataset encompassing multiple attack types, and conducts a systematic evaluation of FDIA detection performance by integrating state estimation (SE) with chi-square test-based bad data detection (BDD) mechanisms. To enhance the capability of identifying stealthy attacks that evade BDD, this paper proposes a detection method that fuses short-time Fourier transform (STFT) frequency-domain features with a spatio-temporal graph neural network (STGNN). Experimental results demonstrate that the proposed method outperforms existing approaches in terms of detection accuracy and robustness.","Renewable energy;Smart grid;FDIA;Attack detection;STFT;STGNN",""
"43","Reverse-Engineering and Automating BDD for Modern Software Development with LLMs","S. B. Patel; S. Nigam; S. Mahale","2025","2025 IEEE International Conference on Data and Software Engineering (ICoDSE)","S1+S2+S3","10.1109/ICoDSE68111.2025.11351772","Behavior-Driven Development (BDD) frameworks like Cucumber and Behave align business requirements with executable tests but remain costly to author and maintain, especially for legacy or evolving systems [1], [2]. We present a novel LLM-driven approach, leveraging LLaMA to reverse-engineer requirements from schemas, API payloads, and partial tests to automatically generate Gherkin feature files with corresponding step definitions. Generated artifacts are drafted into automated pull requests and merged into the repositories via human review [3]. Our proposed method when tested across two enterprise systems, over six sprints, reduced authoring time by about 75%, expanded negative test coverage by 30%, and achieved cost savings ranging from $7,725 in conservative adoption to over $40,000 in high-volume adoption, maintaining infrastructure overhead costs below 3%. Beyond efficiency gains, the approach lowers barriers for teams new to BDD and demonstrates a practical, cost-effective path for industry adoption while opening avenues for research in adaptive prompting, coverage-aware generation, and retrieval-augmented workflows. [3].","Behavior-Driven Development (BDD);Generative AI;Gherkin;Human-in-the-Loop;Inference;Large Language Models (LLMs);Llama;Natural Language Processing (NLP);Software Testing Frameworks;Test Automation",""
"44","SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT","M. Galloy; M. Balfroid; B. Vanderose; X. Devroey","2025","2025 IEEE International Conference on Software Testing, Verification and Validation Workshops (ICSTW)","S3","10.1109/ICSTW64639.2025.10962479","While state-of-the-art large language models (LLMs) show great potential for automating various Behavioral-Driven Development (BDD) related tasks, such as test generation, smaller models depend on high-quality data, which are challenging to find in sufficient quantity. To address this challenge, we adapt the SELF-INSTRUCT method to generate a large synthetic dataset from a small set of human-written high-quality scenarios. We evaluate the impact of the initial seeded scenarios’ quality on the generated scenarios by generating two synthetic datasets: one from 175 high-quality seeds and one from 175 seeds that did not meet all quality criteria. We performed a qualitative analysis using state-of-the-art quality criteria and found that the quality of seeds does not significantly influence the generation of complete and essential scenarios. However, it impacts the scenarios’ capability to focus on a single action and outcome and their compliance with Gherkin syntactic rules. During our evaluation, we also found that while raters agreed on whether a scenario was of high quality or not, they often disagreed on individual criteria, indicating a need for quality criteria easier to apply in practice.","Large Language Models (LLMs);behaviour-driven development (BDD);self-instruct",""
"45","Semiconductor Parametric Yield Prediction: A Combination of Machine Learning and Physics-Informed Approach","K. Sankaran; A. Mosleh; K. Hakim","2025","2025 Annual Reliability and Maintainability Symposium (RAMS)","S3","10.1109/RAMS48127.2025.10935067","Semiconductor manufacturing is a multi-billion-dollar industry with yield being a fundamental factor in evaluating semiconductor device cost. The Yield is evaluated as the ratio of the number of working die over net number of die. Yield is regulated by different yield types: (1) Line Yield; (2) E-Test Yield; (3) Sort Yield; and (4) Final Test yield. Other than fab related systematic factors affecting yield, E-test, sort & final test yield could either be defect-limited, or parametric-shift limited. The purpose of this work is to develop a model to estimate defect-limited and parametric-shift -limited yields which are primarily dealing with random yield. There are several proposed models in the public domain for defect-limited yield estimation. However, parametric shift is often estimated by simulation which is both time consuming and costly. Furthermore, simulation is not the method of choice for deciding which process to use for a particular design. A simpler approach is needed to determine if a process technology of choice provides adequate headroom, resulting in a reasonable yield for the design. The aim of this work is to model parametric-shift-limited yield using regression or deep machine learning (DML) techniques on final test data. This yield type is very sensitive to manufacturing process variation. Depending on the amount of headroom associated with an IC design, manufacturing fluctuation could influence the amount of shift on device parameters. While Semiconductor Foundries do not share many details regarding their processes since the data is proprietary, E-test (aka Wafer Acceptance Test or WAT) results for every manufacturing lot are available for evaluation. E-test summarizes the results of a series of simple test structures distributed on multiple locations on the wafer. These test structures provide a measure of basic device parameters such as $V_{th},I_{D_{sat}}$ and some others which represent a measure of variability in the manufacturing process. In this paper we present a model for estimating yield based on parametric shift. The involved datasets here will be E-test data and Final Test data. A Correlation analysis will be done between E-test data and Final test data using Machine Learning. Physics-informed models will then be used to estimate E-test parameters using process specific data. The resulting values will be used to estimate Final Test failure signatures using E- test correlation as a bridge between them. This process will involve both a data-based approach and a root cause yield prediction.","Machine Learning;ASICs;Semiconductor Yield;Process Nodes",""
"46","Streamlining Acceptance Test Generation for Mobile Applications Through Large Language Models: An Industrial Case Study","P. L. Fonseca; B. Lima; J. P. Faria","2025","2025 40th IEEE/ACM International Conference on Automated Software Engineering (ASE)","S1+S3","10.1109/ASE63991.2025.00273","Mobile acceptance testing remains a bottleneck in modern software development, particularly for cross-platform mobile development using frameworks like Flutter. While developers increasingly rely on automated testing tools, creating and maintaining acceptance test artifacts still demands significant manual effort. To help tackle this issue, we introduce AToMIC, an automated framework leveraging specialized Large Language Models to generate Gherkin scenarios, Page Objects, and executable UI test scripts directly from requirements (JIRA tickets) and recent code changes. Applied to BMW’s MyBMW app, covering 13 real-world issues in a 170+ screen codebase, AToMIC produced executable test artifacts in under five minutes per feature on standard hardware. The generated artifacts were of high quality: 93.3% of Gherkin scenarios were syntactically correct upon generation, 78.8% of PageObjects ran without manual edits, and 100% of generated UI tests executed successfully. In a survey, all practitioners reported time savings (often a full developer-day per feature) and strong confidence in adopting the approach. These results confirm AToMIC as a scalable, practical solution for streamlining acceptance test creation and maintenance in industrial mobile projects.","Acceptance Testing;Large Language Models;Mobile Applications;Flutter;Test Case Generation;Cross-Platform Development;Gherkin;Test Automation",""
"47","Synthesis for Testability: Polynomial Test Pattern Generation for KFDD Circuits","M. Schnieber; R. Drechsler","2025","2025 28th Euromicro Conference on Digital System Design (DSD)","S3","10.1109/DSD67783.2025.00019","Today, circuits are used in various safety-critical systems, therefore yielding a high demand for reliable systems. Consequently, a lot of research is conducted to improve the testability of designs by increasing the test coverage or reducing the required test time. In this context, provable computational bounds are crucial to ensure fast test pattern generation. Previous works proved polynomial test set generation for Binary Decision Diagram (BDD) circuits. Later, the testability of Kronecker Functional Decision Diagrams (KFDDs) was assessed, as KFDDs can exponentially reduce the required logic. However, the test set generation for KFDD circuits generally requires exponential resources. In this paper, we present a technique to derive circuits from KFDDs, for which a complete test set under the Cellular Fault Model (CFM), as well as the Stuck-At Fault Model (SAFM), can be generated within polynomial resources. The derived circuit is linear in size regarding the KFDD size, and in contrast to previously derived KFDD circuits, no redundant faults can occur, yielding fully testable circuits under CFM and SAFM. In our evaluation, the complete test set generation was up to 50 times faster than the previous exponential method, clearly showcasing the advantages of our polynomial approach.","Synthesis for Testability;Kronecker Functional Decision Diagrams;Logic Synthesis",""
"48","System Design for Automating Incident Update Responses Using Large Language Models","G. A. Muhamad; C. R. Winata; K. Habib","2025","2025 Tenth International Conference on Informatics and Computing (ICIC)","S2+S3","10.1109/ICIC68054.2025.11309686","This paper presents a system design for automating incident update responses in telecommunication service providers using Large Language Models (LLMs). We address key challenges in current incident management practices: tailoring customer-faced communications while also maintaining cost efficiency and user experience. The proposed system design implements a caching mechanism to reduce operational costs and response latency. Rather than using semantic similarity search, our system employs a strict key-match caching approach that ensures consistent responses while minimizing computational overhead. We selected DeepSeek-V3 API as our primary LLM based on comprehensive cost-performance analysis. Our prompt engineering approach incorporates persona definition, chain-of-thought reasoning, and constitutional AI principles to generate tailored responses. Experimental results demonstrate significant efficiency gains, validated through quantitative analysis. Eliminating redundant LLM calls avoids linear cost growth, while reduced latency improves speed by 99%. Additionally, LLM response quality successfully passed User Acceptance Test. This work contributes to the practical implementation of LLMs in Customer Relationship Management systems by balancing cost efficiency, response quality, and customer experience.","system design;automation;large language models;caching mechanism",""
"49","The Role of Machine Learning and Large Language Models in Software Testing and Validation","Y. Hachaïchi; M. A. Ouerghi","2025","2025 IEEE 22nd International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA)","S1+S2+S3","10.1109/STA66620.2025.11364940","Ensuring software quality in agile and continuous integration environments has become increasingly challenging due to the complexity and pace of modern development. This paper explores the use of Large Language Models (LLMs) in automating software testing and validation processes. We present an AI-based framework leveraging Retrieval-Augmented Generation (RAG) and prompt engineering to automatically generate Gherkin scenarios from Jira Xray requirements within a Behavior-Driven Development (BDD) context. Following the CRISP-DM methodology, the system integrates semantic retrieval, generative modeling, and human-in-the-loop validation to ensure syntactic compliance, semantic fidelity, and industrial applicability. Experimental results show that the proposed approach achieves a high syntactic accuracy, BLEU score, and an 87% reduction in test generation time compared to manual methods. These findings demonstrate the feasibility and effectiveness of LLM-driven automation in bridging natural language requirements with executable test artifacts, marking a significant advancement in AI-augmented software quality assurance.","Machine Learning;Large Language Models;Software Testing;Behavior-Driven Development;RetrievalAugmented Generation;Prompt Engineering;Quality Assurance Automation;Gherkin Scenarios;Test Case Generation",""
"50","Towards a Gherkin-Based Requirement Verification Approach in MBSE","D. Hoffmann; S. R. Ammana; A. J. Dsouza; R. Gudder; A. Lüder","2025","2025 IEEE International Symposium on Systems Engineering (ISSE)","S1+S3","10.1109/ISSE65546.2025.11370125","Model-Based Systems Engineering (MBSE) plays a critical role in managing complexity during early system development, yet verifying that architectural models satisfy stakeholder requirements remains a largely manual and error-prone task. While Behavior-Driven Development (BDD) has gained traction in software engineering by bridging the gap between natural language requirements and executable tests, its potential in the MBSE domain is underexplored. This paper introduces a novel methodology that adapts the Gherkin syntax from BDD into a constrained, graph-aware dialect tailored for MBSE applications. The approach formalizes the transformation of natural language requirements into structured, testable scenarios and verifies them against SysML-based architectural models represented as graphs. We demonstrate the method using a prototypical use case, illustrating how functional requirements can be traced, validated, and iteratively refined through test feedback. The methodology is tool-agnostic and supports multiple implementation strategies. By combining scenario-driven verification with model-based reasoning, the proposed MBSE-Gherkin framework fosters early, automated, and traceable validation of behavioral system requirements.","Model-Based Systems Engineering;Model verification;Gherkin",""
"51","User Acceptance Test Case Generation Using LLMs","S. Varpe; U. Mittal; R. K. Bhatia; Ashpreet","2025","2025 IEEE International Conference on Collaborative Advances in Software and COmputiNg (CASCON)","S3","10.1109/CASCON66301.2025.00084","Understanding and validating user requirements is crucial to successful software development. However, manual User Acceptance Testing is often time-consuming, error-prone, and susceptible to bias, making automation an attractive alternative. This paper proposes a zero-shot learning framework for automating User Acceptance Testcase (UAT) generation using Large Language Models (LLMs). Five state-of-the-art LLMs-Gemma, LLaMA3, Mistral, Phi, and Qwen-are evaluated on the PURE dataset of Software Requirements Specification (SRS) documents. The methodology includes SRS text extraction, self-optimizing prompt generation, iterative test case generation, and comprehensive evaluation using both quantitative metrics (e.g., lexical similarity, semantic similarity via BERTScore, diversity, and test case volume) and qualitative analyses (e.g., word clouds and term frequency distributions). Results indicate that while Gemma produces the highest number of test cases, models like Qwen offer better semantic accuracy (with a BERTScore F1 of 80.58%), diversity, and broader requirement coverage. This work demonstrates the potential of LLMs to streamline UAT generation and highlights future directions for scaling and optimizing such frameworks within real-world software engineering workflows.","User Acceptance Testing;Software Requirements;LLMs;Zero-Shot Learning;Prompt Engineering;Test Case Automation;SRS Analysis",""
"52","User Experience (UX) Analysis of Skin Tone Clustering with AI for Clothing Small and Medium Enterprise (SME) System","W. P. Sari; B. R. P. Mukkaromah; M. R. S. Djatmieka; P. C. P. Ningtyas","2025","2025 3rd International Conference on Intelligent Data Communication Technologies and Internet of Things (IDCIoT)","S3","10.1109/IDCIOT64235.2025.10914855","The difficulty in imagining whether the colour of clothes purchased online will match the skin tone of the buyer or not makes users hesitant and even reluctant to buy fashion clothes from online stores. this is usually influenced by the lighting factor when photographing products, which sometimes produces different results than when they reach the buyer. currently, there are not many websites that provide user experience to overcome this with the help of AI technology, especially skin tone detection from the skin tone of the face directly from the seller's sales platform. Therefore, this research aims to measure the user interface of the clothing colour recommendation system according to skin tone. Since online users can check their skin tone according to the clothes they want to buy, this is expected to improve the user experience of a unique online market share, especially in Kuta Bali, Indonesia. This research uses the software development methodology, SCRUM. This research successfully measures the success factors that affect the user experience in this system and shows the factors in the system that need to be improved before it can be fully used by users. For testing, 3 methods were used, namely User Acceptance Testing (UAT) with an average result of 90.67% (aspects of usability 90%, information reliability 81 % and interaction quality 91 %), for User Experience Questionnaire (UEQ) testing with an average result of 504 (with aspects of attractiveness (1. 699), Clarity (1.632), Efficiency (1.740), Accuracy (1.583), Stimulation (1.588) and Novelty (1.005)), which puts it in the good category, and Regression Testing, which achieved 100% results, showing the reliability and stability of this system. All in all, the development of this website illustrates a user interface designed in accordance with customer expectations.","scrum;User Acceptance Test;User Evaluation Questionary;regression;fashion;skin tone",""
"53","Vehicle Target Detection Model Based on CBAM-BiFPN and Improved CenterNet Coding","X. Xing; F. Luo; B. Wang; Y. Huang; L. Tang","2025","IEEE Open Journal of Intelligent Transportation Systems","S3","10.1109/OJITS.2025.3600667","The study introduces a new method to enhance vehicle type recognition rates in Internet of Vehicles environment. The approach integrates a vehicle target detection model that utilizes bidirectional feature fusion of a hybrid attention mechanism and an enhanced CenterNet encoding technique, with ResNet18 as the base network. By decoupling detection and classification processes, the model focuses on vehicle characteristics and unique model differences, boosting accuracy. Additionally, Scale feature information is incorporated to improve CenterNet vehicle target detection by learning width, height, and shape details. To address low detection rates of specific vehicle models like buses and vans, a bidirectional feature fusion mechanism is employed, combining a hybrid attention mechanism (CBAMBiFPN) to enhance feature utilization and detection accuracy. Experimental results on UA-DETRAC and BDD datasets demonstrated an average accuracy increase, validating the model’s effectiveness. Compared to the original model, the new model showed improvements in mean average precision, F1-Score, and detection speed. Specifically, the UA-DETRAC data set saw a 1.6 percentage point increase in mean average precision and a 1.8 percentage point increase in F1-Score, with a detection speed of 68 frames/s. On the BDD100K data set, the model improved mean average precision by 1.1 percentage points. The study showcases enhanced accuracy without compromising real-time performance.","Vehicle detection;bidirectional feature fusion;attention mechanism;coding optimization;CenterNet;deep learning",""
"54","ViMoTest: A Tool to Specify ViewModel-Based GUI Test Scenarios Using Projectional Editing","M. Fuksa; S. Speth; S. Becker","2025","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","S3","10.1109/ICST62969.2025.10988969","Automated GUI testing is crucial in ensuring that presentation logic behaves as expected. However, existing tools often apply end-to-end approaches and face challenges such as high specification efforts, maintenance difficulties, and flaky tests while coupling to GUI framework specifics. To address these challenges, we introduce the ViMoTest tool, which leverages Behavior-driven Development, the ViewModel architectural pattern, and projectional Domain-specific Languages (DSLs) to isolate and test presentation logic independently of GUI frameworks. We demonstrate the tool with a small JavaFX-based task manager example and generate executable code.","ViMoTest;ViewModel;BDD;Behavior-driven Development;GUI Testing;JetBrains MPS",""
"55","A Comparison of Board-Level Lot Acceptance Testing Method With Worst Case Analysis Results","G. Montay; M. Beaumel; F. Rifa; B. Huret; C. Poivey","2024","IEEE Transactions on Nuclear Science","S3","10.1109/TNS.2024.3390150","A methodology for radiation lot acceptance at the board level is proposed. A worst case analysis of a dc/dc converter board has been performed per two analytical methods and per a Monte Carlo simulation. Six samples of the board have been tested to confront the analysis results with temperature effects ( $- 55~^{\circ }$ C, $+ 25~^{\circ }$ C, and $+ 125~^{\circ }$ C), aging effects (1300 h at $120~^{\circ }$ C), and ionizing dose effects [20, 50, and 105 krad(Si)]. The tested board functions are found to be almost only dependent on the temperature, whereas significant degradation by aging and dose could be expected from the analysis.","Cobalt-60;ionizing dose;lot acceptance test (LAT);radiation hardness assurance (RHA);system-level testing;worst case analysis (WCA)","1.0"
"56","Adversarial Artificial Intelligence in Blind False Data Injection in Smart Grid AC State Estimation","M. Rahman; J. Yan; E. Thepie Fapi","2024","IEEE Transactions on Industrial Informatics","S3","10.1109/TII.2024.3374374","Artificial intelligence (AI) plays an imperative role in next-generation critical infrastructures like the smart grid, whose power can be harnessed by not only operators, but also cyber adversaries. This article investigates a potential threat from adversarial AI in blind false data injection attacks (FDIA) targeting the ac state estimators in the smart grid. Assuming no access to the grid topology required in most FDIA, we propose an adversarial model based on artificial neural networks (ANNs) to infer grid topology from historical measurements. Following the topology inference, a substitute bad data detector (BDD) model is further proposed in the attack model to filter the false data before injection, reducing the risk of detection given potential bad data in normal operations. We also refine the common evaluation of FDI stealthiness by including the presence of bad data among normal and false data when assessing the detection performance. Simulations on the IEEE 30-bus system reveal that significant deviations can be inflicted stealthily by the proposed blind FDI attack. Detailed analyses of the stealthiness, impacts, and parameters are also presented to shed more light on the threats for further studies and effective countermeasures.","Adversarial artificial intelligence (AI);data integrity attacks;false data injection (FDI);smart grid;state estimation (SE)","37.0"
"57","Agile testing using user language automation with artificial intelligence in Enjisst","D. T. Penagos; N. Agudelo","2024","2024 IEEE Latin American Conference on Computational Intelligence (LA-CCI)","S1","10.1109/LA-CCI62337.2024.10814749","Current software engineering focuses on achieving higher quality and speed in development and generating value for the business. This article proposes combining scenario thinking from requirement analysis techniques, such as Use Case 2.0, with test design and automation using the approaches of 'Behavior-Driven Development (BDD)' and 'Acceptance Test-Driven Development (ATDD).' This approach involves designing automated functional tests supported by artificial intelligence before development, which provides benefits regarding the time and cost of test automation. Enjisst is a user-language test automation platform aimed at creating different options for functional testing, which improves the understanding of the problem and promotes more effective communication of requirements across the entire team. This article demonstrates how Enjisst implements the described approach, which, supported by artificial intelligence and other sophisticated aspects, improves development speed and quality by over 50%. In summary, applying the required quality concepts in current agile and DevOps methodologies is a practical way.","Agile Testing;Agility;Artificial Intelligence in Software Testing;BDD;DevOps;Test Automation",""
"58","Augmented Reality Application for Supporting Thai Cultural Tourism","S. Suwannahong; J. Thongmee; P. Owatchaiyapong","2024","2024 IEEE International Conference on Cybernetics and Innovations (ICCI)","S3","10.1109/ICCI60780.2024.10532549","Augmented reality technology was gained recognition at present. It is an extension of virtual reality that more prominent in daily life and it delivers an interactive experience of real-world environment in which real world thing are improved by compute, therefore, augmented reality technology is a crucial tool for promoting cultural tourism awareness of the tourist. This research aims to 1. develop the augmented reality application for supporting Thai cultural tourism 2. evaluate the satisfaction of users toward the augmented reality application for supporting cultural tourism. The application was proved by acceptance test and satisfaction of the application was evaluated by experts and user of this application by questionnaire. The statistics used in data analysis were percentage, mean and standard deviation. The evaluation result from the questionnaire completed by experts and general users yielded was at a good level.","Augmented Reality Application;Thai Cultural Tourism;Tourism","3.0"
"59","Automated Verifiability-Driven Design of Approximate Circuits: Exploiting Error Analysis","Z. Vasicek; V. Mrazek; L. Sekanina","2024","2024 Design, Automation & Test in Europe Conference & Exhibition (DATE)","S3","10.23919/DATE58400.2024.10546795","A fundamental assumption for search-based circuit approximation methods is the ability to massively and efficiently traverse the search space and evaluate candidate solutions. For complex approximate circuits (adders and multipliers), common error metrics, and error analysis approaches (SAT solving, BDD analysis), we perform a detailed analysis to understand the behavior of the error analysis methods under constrained resources, such as limited execution time. In addition, we show that when evaluating the error of a candidate approximate circuit, it is highly beneficial to reuse knowledge obtained during the evaluation of previous circuit instances to reduce the total design time. When an adaptive search strategy that drives the search towards promptly verifiable approximate circuits is employed, the method can discover circuits that exhibit better trade-offs between error and desired parameters (such as area) than the same method with unconstrained verification resources and within the same overall time budget. For 16-bit and 20-bit approximate multipliers, it was possible to achieve a 75% reduction in area when compared with the baseline method.","","1.0"
"60","Comprehensive Evaluation and Insights Into the Use of Large Language Models in the Automation of Behavior-Driven Development Acceptance Test Formulation","S. Karpurapu; S. Myneni; U. Nettur; L. S. Gajja; D. Burke; T. Stiehm; J. Payne","2024","IEEE Access","S2+S3","10.1109/ACCESS.2024.3391815","Behavior-driven development (BDD) is an Agile testing methodology fostering collaboration among developers, QA analysts, and stakeholders. In this manuscript, we propose a novel approach to enhance BDD practices using large language models (LLMs) to automate acceptance test generation. Our study uses zero and few-shot prompts to evaluate LLMs such as GPT-3.5, GPT-4, Llama-2-13B, and PaLM-2. The paper presents a detailed methodology that includes the dataset, prompt techniques, LLMs, and the evaluation process. The results demonstrate that GPT-3.5 and GPT-4 generate error-free BDD acceptance tests with better performance. The few-shot prompt technique highlights its ability to provide higher accuracy by incorporating examples for in-context learning. Furthermore, the study examines syntax errors, validation accuracy, and comparative analysis of LLMs, revealing their effectiveness in enhancing BDD practices. However, our study acknowledges that there are limitations to the proposed approach. We emphasize that this approach can support collaborative BDD processes and create opportunities for future research into automated BDD acceptance test generation using LLMs.","Agile software development;natural language processing;prompt engineering;software testing;test case automation;automated acceptance testing;zero-shot and few-shot;GPT-35 and GPT-4;PaLM-2;Llama-13B;cucumber;generative AI","22.0"
"61","Detection of False Data Injection Attacks in Power Systems Using Deep Autoencoder with Attention Mechanism","I. M. A. Santos; G. R. S. Lira; P. B. Vilar","2024","2024 Workshop on Communication Networks and Power Systems (WCNPS)","S3","10.1109/WCNPS65035.2024.10814586","The evolution of electrical power systems into smart grids has increased their efficiency but has also introduced new vulnerabilities, particularly in the form of cyber-attacks. One such threat is the False Data Injection (FDI) attack, which can bypass traditional Bad Data Detection (BDD) mechanisms, thereby posing significant risks to system security. Detecting such attacks is crucial to ensure the security and stability of power systems. In this paper, a self-supervised deep autoencoder model with an attention mechanism is applied to detect FDI attacks in power systems. Two datasets were used: one containing real measurements from an IEEE 14-bus system and another containing attack vectors. These datasets were randomly combined to form a compromised dataset. A model was then developed with the goal of distinguishing real measurements from attack vectors. The performance of the model was subsequently analyzed using appropriate metrics, which achieved a high detection rate with minimal false positives, demonstrating its robustness","Anomaly detection;autoencoder;false data injection attack;attention mechanism;self-supervised training",""
"62","DriveGPT4: Interpretable End-to-End Autonomous Driving Via Large Language Model","Z. Xu; Y. Zhang; E. Xie; Z. Zhao; Y. Guo; K. -Y. K. Wong; Z. Li; H. Zhao","2024","IEEE Robotics and Automation Letters","S2","10.1109/LRA.2024.3440097","Multimodallarge language models (MLLMs) have emerged as a prominent area of interest within the research community, given their proficiency in handling and reasoning with non-textual data, including images and videos. This study seeks to extend the application of MLLMs to the realm of autonomous driving by introducing DriveGPT4, a novel interpretable end-to-end autonomous driving system based on LLMs. Capable of processing multi-frame video inputs and textual queries, DriveGPT4 facilitates the interpretation of vehicle actions, offers pertinent reasoning, and effectively addresses a diverse range of questions posed by users. Furthermore, DriveGPT4 predicts low-level vehicle control signals in an end-to-end fashion. These advanced capabilities are achieved through the utilization of a bespoke visual instruction tuning dataset, specifically tailored for autonomous driving applications, in conjunction with a mix-finetuning training strategy. DriveGPT4 represents the pioneering effort to leverage LLMs for the development of an interpretable end-to-end autonomous driving solution. Evaluations conducted on the BDD-X dataset showcase the superior qualitative and quantitative performance of DriveGPT4. Additionally, the fine-tuning of domain-specific data enables DriveGPT4 to yield close or even improved results in terms of autonomous driving grounding when contrasted with GPT4-V.","Autonomous driving;large language model","334.0"
"63","Efficient Slicing of Feature Models via Projected d-DNNF Compilation","C. Sundermann; J. Loth; T. Thüm","2024","2024 39th IEEE/ACM International Conference on Automated Software Engineering (ASE)","S3","","Configurable systems often contain components from different fields or disciplines that are relevant for distinct stakeholders. For instance, tests or analyses targeting interactions of the software of a cyber-physical system may be only applicable for software components. However, managing such components in isolation is not trivial due, for instance, interdependencies between features. Feature models are a common formalism to specify such dependencies. Feature-model slicing corresponds to creating a subset of the feature model (e.g., with only components relevant to a particular stakeholder) that still preserves transitive dependencies from discarded features. However, slicing is computationally expensive and subsequent analyses often depend on complex computations, such as SAT or #SAT. With knowledge compilation, the original feature model can be translated to a beneficial format (e.g., d-DNNF or BDD) with an initial effort that accelerates subsequent analyses. Consequentially, acquiring a sliced target format depends on two expensive subsequent algorithms. In this work, we merge both steps by proposing projected d-DNNF compilation; a novel way to slice feature models that coincidently performs knowledge compilation to d-DNNF. Our empirical evaluation on real-world feature models shows that our tool pd4 often reduces runtimes substantially compared to existing techniques and scales to more input instances.","feature models;configurable systems;product lines;d-DNNF;knowledge compilation;slicing;projection",""
"64","Enhancing Sustainability in Photovoltaic Technology: Optimization of NH2(CH2)2NH3MnCl4 Perovskite Solar Cells","A. Verma; N. Shrivastav; J. Madan","2024","2024 IEEE International Conference on Information Technology, Electronics and Intelligent Communication Systems (ICITEICS)","S3","10.1109/ICITEICS61368.2024.10625166","The study explores the optimization of PSC based on (NH(CH2)2NH3MnCI4) with the goal of improving their environmental sustainability, stability, and efficiency. It investigates the complex impacts of BDD, ND, and NA on device performance by methodical variations. Donors affect charge carrier concentrations and production, whereas acceptors are essential to charge transit and extraction in PSCs. On the other side, defects might hinder a device's functionality by serving as recombination hubs. Utilizing cutting-edge material engineering methods like surface passivation and doping, it seeks to increase device stability and efficiency by optimizing these factors. $\mathrm{V}_{\text{OC}}=1.47 \%, \mathrm{J}_{\text{SC}}=17.45 \text{mA} / \text{cm}^2, \text{FF}=86.38 \%,$. and $\text{PCE}=22.16\%$ are the study's maximum results. The development of reliable and efficient PV technology is advanced by this work. It supports international efforts to slow down climate change, provide access to sustainable energy sources, and encourage the development of innovative clean energy technologies. The foundation for PSCs' broad acceptance and integration into a variety of applications is laid by this study, which will speed up the shift to a more sustainable energy future. It seeks to solve the issues of scalability, dependability, and environmental effect through multidisciplinary collaboration and ongoing research efforts, opening the door for a more environmentally friendly and sustainable energy landscape.","simulations;optimization;optimization and optical materials;perovskite;HTL","1.0"
"65","Evaluation of Magnetic Performance of Superconducting Magnets for the Superconducting Fragment Separator at FAIR","E. Cho; A. Beaumont; A. Chiuchiolo; F. Greiner; P. Kosek; M. Michels; H. Mueller; K. Sugita; V. Velonas; C. Roux; M. Winkler; H. Simon","2024","IEEE Transactions on Applied Superconductivity","S3","10.1109/TASC.2024.3350008","The Superconducting FRagment Separator (Super-FRS) is a powerful in-flight separator currently being built in Darmstadt, Germany. It is designed to accept beams up to a maximum magnetic rigidity of 20 Tm. Compared to the Fragment Separator (FRS) currently in operation, its momentum and angular acceptance of the beams is increased significantly owing to large aperture magnets based on a superferric design. In addition to the main dipole magnets, the Super-FRS requires two types of quadrupole magnet and different corrector magnets (steering dipole, sextupole, and octupole). The quadrupole magnets and the corrector magnets are assembled as a cold mass column in a common cryogenic module called a multiplet. The cold mass is cooled in a liquid helium bath at 4.5 K while the beam pipe remains at room temperature. Niobium-Titanium racetrack coils are assembled with the quadrupole and sextupole iron yokes. The steerer and the octupole magnet, which is embedded in the quadrupole magnet, are cos-theta magnets. As a part of FAIR early science program (ES), installation of the Super-FRS is planned in 2025 and its commissioning in 2026. The series production of the multiplets was awarded to ASG S.p.A, Italy, and the site acceptance test (SAT) is underway at a dedicated cryogenic facility at CERN. Among 20 multiplets, which will be installed for the FAIR ES program, we completed the SAT of five. In this work, we present the magnetic measurement results including the reproducibility of magnetic performance and a discussion comparing electromagnetic simulations.","Accelerator magnets;magnet design;superferric magnet;multipole magnet;field quality;simulation",""
