"id","title","authors","year","venue","search_strings","doi","abstract","keywords","citations","v1_decision","v1_reason","v2_decision","v2_reason"
"22","The Role of Machine Learning and Large Language Models in Software Testing and Validation","Y. Hachaïchi; M. A. Ouerghi","2025","2025 IEEE 22nd International Conference on Sciences and Techniques of Automatic Control and Computer Engineering (STA)","S1+S2+S3","10.1109/STA66620.2025.11364940","Ensuring software quality in agile and continuous integration environments has become increasingly challenging due to the complexity and pace of modern development. This paper explores the use of Large Language Models (LLMs) in automating software testing and validation processes. We present an AI-based framework leveraging Retrieval-Augmented Generation (RAG) and prompt engineering to automatically generate Gherkin scenarios from Jira Xray requirements within a Behavior-Driven Development (BDD) context. Following the CRISP-DM methodology, the system integrates semantic retrieval, generative modeling, and human-in-the-loop validation to ensure syntactic compliance, semantic fidelity, and industrial applicability. Experimental results show that the proposed approach achieves a high syntactic accuracy, BLEU score, and an 87% reduction in test generation time compared to manual methods. These findings demonstrate the feasibility and effectiveness of LLM-driven automation in bridging natural language requirements with executable test artifacts, marking a significant advancement in AI-augmented software quality assurance.","Machine Learning;Large Language Models;Software Testing;Behavior-Driven Development;RetrievalAugmented Generation;Prompt Engineering;Quality Assurance Automation;Gherkin Scenarios;Test Case Generation","","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-N - khung tổng quan LLM trong testing (RAG-based), không có thực nghiệm BDD/Gherkin cụ thể"
"23","Towards a Gherkin-Based Requirement Verification Approach in MBSE","D. Hoffmann; S. R. Ammana; A. J. Dsouza; R. Gudder; A. Lüder","2025","2025 IEEE International Symposium on Systems Engineering (ISSE)","S1+S3","10.1109/ISSE65546.2025.11370125","Model-Based Systems Engineering (MBSE) plays a critical role in managing complexity during early system development, yet verifying that architectural models satisfy stakeholder requirements remains a largely manual and error-prone task. While Behavior-Driven Development (BDD) has gained traction in software engineering by bridging the gap between natural language requirements and executable tests, its potential in the MBSE domain is underexplored. This paper introduces a novel methodology that adapts the Gherkin syntax from BDD into a constrained, graph-aware dialect tailored for MBSE applications. The approach formalizes the transformation of natural language requirements into structured, testable scenarios and verifies them against SysML-based architectural models represented as graphs. We demonstrate the method using a prototypical use case, illustrating how functional requirements can be traced, validated, and iteratively refined through test feedback. The methodology is tool-agnostic and supports multiple implementation strategies. By combining scenario-driven verification with model-based reasoning, the proposed MBSE-Gherkin framework fosters early, automated, and traceable validation of behavioral system requirements.","Model-Based Systems Engineering;Model verification;Gherkin","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-O - Gherkin để verify MBSE architectural model, không phải sinh test từ user story"
"24","ViMoTest: A Tool to Specify ViewModel-Based GUI Test Scenarios Using Projectional Editing","M. Fuksa; S. Speth; S. Becker","2025","2025 IEEE Conference on Software Testing, Verification and Validation (ICST)","S3","10.1109/ICST62969.2025.10988969","Automated GUI testing is crucial in ensuring that presentation logic behaves as expected. However, existing tools often apply end-to-end approaches and face challenges such as high specification efforts, maintenance difficulties, and flaky tests while coupling to GUI framework specifics. To address these challenges, we introduce the ViMoTest tool, which leverages Behavior-driven Development, the ViewModel architectural pattern, and projectional Domain-specific Languages (DSLs) to isolate and test presentation logic independently of GUI frameworks. We demonstrate the tool with a small JavaFX-based task manager example and generate executable code.","ViMoTest;ViewModel;BDD;Behavior-driven Development;GUI Testing;JetBrains MPS","","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - tool GUI test scenario (projectional editing), không dùng LLM, không từ user story"
"25","Agile testing using user language automation with artificial intelligence in Enjisst","D. T. Penagos; N. Agudelo","2024","2024 IEEE Latin American Conference on Computational Intelligence (LA-CCI)","S1","10.1109/LA-CCI62337.2024.10814749","Current software engineering focuses on achieving higher quality and speed in development and generating value for the business. This article proposes combining scenario thinking from requirement analysis techniques, such as Use Case 2.0, with test design and automation using the approaches of 'Behavior-Driven Development (BDD)' and 'Acceptance Test-Driven Development (ATDD).' This approach involves designing automated functional tests supported by artificial intelligence before development, which provides benefits regarding the time and cost of test automation. Enjisst is a user-language test automation platform aimed at creating different options for functional testing, which improves the understanding of the problem and promotes more effective communication of requirements across the entire team. This article demonstrates how Enjisst implements the described approach, which, supported by artificial intelligence and other sophisticated aspects, improves development speed and quality by over 50%. In summary, applying the required quality concepts in current agile and DevOps methodologies is a practical way.","Agile Testing;Agility;Artificial Intelligence in Software Testing;BDD;DevOps;Test Automation","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-N - industrial application kết hợp nhiều kỹ thuật, kết quả không định lượng rõ"
"26","Adopted Acceptance Test-Driven Development (ATDD) to produce Robotic Process Automation (RPA) for reducing teaching workload","N. Phakdee; W. Sisomboon; J. Arbking","2023","2023 28th Asia Pacific Conference on Communications (APCC)","S3","10.1109/APCC60132.2023.10460654","Robotic Process Automation (RPA) has emerged as a significant technology across various industries, including the field of education. Educators face a substantial workload that hinders their ability to effectively develop students. To address this issue, the implementation of RPA can be considered to alleviate the burden on teachers. Acceptance Test-Driven Development (ATDD) is a collaborative methodology involving stakeholders, developers, and testers, ensuring software adherence to desired requirements. By integrating ATDD with RPA, teaching processes can be streamlined, repetitive tasks automated, and overall workload reduced. Consequently, instructors can dedicate more time to critical aspects of their roles. The RPA development process can be guided by the six phases of the RPA Life Cycle. During the discovery phase, an evaluation report, specifically the Forrester WaveTM, identified UiPath as the optimal tool. Its features aligned well with the requirements of the teaching support process. Furthermore, a combination of the RPA position strategy, group interviews, and online questionnaires involving lecturers from the Faculty of Informatics at Burapha University guided the word validation process for the RPA application. The design phase followed a structured flow to produce the automated application. The results demonstrated a 71.42-fold reduction in time spent on checking word errors in student project reports and communication between teachers and students. This successful integration of RPA in the education sector showcases its potential for enhancing instructional efficiency and student development.","ATDD;RPA;Robotic Process Automation;teaching;UiPath","3.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - ATDD cho RPA trong giáo dục, off-topic domain"
"27","An Analysis of Behaviour-Driven Requirement Specification for Robotic Competitions","M. Nguyen; N. Hochgeschwender; S. Wrede","2023","2023 IEEE/ACM 5th International Workshop on Robotics Software Engineering (RoSE)","S3","10.1109/RoSE59155.2023.00008","Recent scientific and technological advances have enabled robotic applications in various challenging domains, which motivates means to better represent and manage the subsequent increase in number and complexity of requirements. We look into rulebooks of robotic competitions and benchmarks as one publicly available source of requirements and acceptance criteria for evaluating robots’ performance. From our analysis, we derive a Feature Model containing common elements that recur in descriptions of different robotic competitions. We argue how these features can be used to express requirements and acceptance criteria for robotic applications, within the context of the Behaviour-Driven Development (BDD) paradigm. This can serve as a mean not only to analyse and manage requirements, but also to introduce automation into verifying and validating requirements in robotics.","Robotics;Requirements;Model-Driven Engineering;Behaviour-Driven Development","4.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-O - phân tích BDD spec trong robotic competitions, không phải generation"
"28","Coverage Based Failure Injection Toward Efficient Chaos Engineering","H. Ikeuchi; A. Watanabe; Y. Takahashi","2023","ICC 2023 - IEEE International Conference on Communications","S3","10.1109/ICC45041.2023.10279387","We discuss the problem of designing efficient chaos engineering (CE) experiments in network systems on the basis of coverage. CE is an operational methodology to verify whether unexpected events occur by injecting failures while satisfying conditions called invariant in order to continue service provision in a commercial environment. Since the number of possible failures is enormous, random or manual design of CE is inefficient, and redundant experiments may unnecessarily burden the system. Therefore, a systematic design of CE experiments is needed. We formulate this as a mathematical optimization problem that aims to maximize coverage or minimize the number of experimental iterations. When connectivity is used as an invariant, we propose a polynomial algorithm to obtain an exact optimal solution by attributing it to a matroid intersection problem. When the invariant is general, we propose algorithms that give approximate and exact optimal solutions for problems of realistic size by constructing a binary decision diagram (BDD) representing the invariant. Numerical evaluation on open datasets demonstrates the effectiveness of the proposed methods.","","3.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - chaos engineering / failure injection, không phải test generation"
"29","Meet C4SE: Your New Collaborator for Software Engineering Tasks","G. De Vito; S. Lambiase; F. Palomba; F. Ferrucci","2023","2023 49th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","S2+S3","10.1109/SEAA60479.2023.00044","The software industry’s complexity and scale have increased rapidly, leading to challenges in managing information and tasks among developer teams, often resulting in inefficiencies, misunderstandings, and delays. The extensive search for automated tasks led to using chatbots—conversational agents—in software development. However, despite their positive contributions, their adoption has numerous issues, notably the lack of full working context, making their support sometimes useless. To address such a limitation, we propose C4SE, a chatbot designed to assist software engineers and managers in performing various tasks by gathering information helpful for better support. We use the GPT 3.5 model, and a specialized data store based on a vector database for long-term memory, to understand users’ intentions and maintain contextual information. Our prototype C4SE can perform code suggestions, reviews, GitHub API operations, and generate unit and acceptance test cases. Preliminary evaluation reports encouraging results, showing potential to increase productivity in the software development lifecycle.","Chatbot;software engineering;large language model;LangChain;vector database","4.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - chatbot tổng quát cho SE tasks, không chuyên BDD test generation"
"30","Prompting Creative Requirements via Traceable and Adversarial Examples in Deep Learning","H. Gudaparthi; N. Niu; B. Wang; T. Bhowmik; H. Liu; J. Zhang; J. Savolainen; G. Horton; S. Crowe; T. Scherz; L. Haitz","2023","2023 IEEE 31st International Requirements Engineering Conference (RE)","S1","10.1109/RE57278.2023.00022","Creativity focuses on the generation of novel and useful ideas. In this paper, we propose an approach to automatically generating creative requirements candidates via the adversarial examples resulted from applying small changes (perturbations) to the original requirements descriptions. We present an architecture where the perturbator and the classifier positively influence each other. Meanwhile, we ensure that each adversarial example is uniquely traceable to an existing feature of the software, instrumenting explainability. Our experimental evaluation of six datasets shows that around 20% adversarial shift rate is achievable. In addition, a human subject study demonstrates our results are more clear, novel, and useful than the requirements candidates outputted from a state-of-the-art machine learning method. To connect the creative requirements closer with software development, we collaborate with a software development team and show how our results can support behavior-driven development for a web app built by the team.","creative requirements;automated requirements generation;deep learning;adversarial examples","8.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - sinh creative requirements (không phải test); adversarial examples"
"31","Semi-Automated Behavior-Driven Testing for the Web Front-Ends","S. -P. Ma; Y. -A. Chen; Y. -J. Guo; Y. -S. Su","2023","2023 IEEE International Conference on e-Business Engineering (ICEBE)","S1","10.1109/ICEBE59045.2023.00048","The required effort and time increase as web applications grow in size and complexity. Regression testing becomes time-consuming and repetitive, and there is a higher chance of human errors and omissions. Therefore, automating tests by recording test scripts and writing test case code (i.e., code for conducting specific test cases) can reduce effort, time, and human errors. However, technical personnel may not always understand and describe user requirements correctly, leading to issues of misaligned requirements. Therefore, integrating Behavior-Driven Development (BDD) into front-end automated testing can help facilitate communication and discussion with users. By collaboratively establishing user stories and scripts for testing, it should be possible to reduce issues of unclear or misaligned requirements. Currently, some project teams combine automated testing with BDD methods, which has been recognized for its effectiveness. However, the manual creation of test cases and the definition of BDD steps increase the workload. Moreover, there still needs to be a systematic workflow and supporting tools for effectively incorporating script recording tools into BDD testing. To address these issues, we propose a systematic process called “Recorder-based BDD Testing for Front-end“ (RBTF), which combines the script recording capabilities of automated testing tools with BDD practices. We also developed a tool called “JUnit to Cucumber Converter“ (JUCC) that facilitates the conversion between BDD specifications and test case codes.","Web Automated Testing;BDD (Behavior-Driven Development);Cucumber;Gherkin;Selenium","1.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-O - recording-based BDD (không LLM, không từ user story); semi-automated"
"32","Test Case Prioritization Based on Neural Network Classification with Artifacts Traceability","I. -C. Rotaru; A. Vescan","2023","2023 38th IEEE/ACM International Conference on Automated Software Engineering Workshops (ASEW)","S1","10.1109/ASEW60602.2023.00015","Regression testing is an important factor in ensuring software system reliability once new changes are introduced, but maintaining complex testing suites in continuous integration environments is challenging. Test case prioritization techniques are a potential solution to this problem by computing a reordered testing suite that can provide better fault detection capabilities. However, current methods rely on manually providing artifact dependencies (requirements to code, code to test cases, test cases to faults) as input. The purpose of this paper is to minimize the gap between automatic dependency computation and test case prioritization by analyzing how Behavior-Driven Development (BDD) practices affect the two tasks. Thus, the first contribution of this paper is related to the design and implementation of an automatic traceability component to retrieve dependencies based on BDD artifacts (requirements, source code, test cases, and faults). The second contribution refers to the integration of the discovered traces as features in a neural network classification model for test cases for further prioritization. Various architectures were used for the neural network classification model. Two real-world BDD projects were used for the validation of the models, comparing the best-performing models with a baseline test case prioritization technique to assess their fault-detection capabilities. Our approach achieved promising fault detection rates that demonstrate the efficiency of automatic traceability and may lead to future applicability to large-scale projects.","Regression Testing;Test Case Prioritization;Artifact Traceability;Behavior-Driven Development","3.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - test case prioritization (regression), không phải generation"
"33","Towards Code Generation from BDD Test Case Specifications: A Vision","L. Chemnitz; D. Reichenbach; H. Aldebes; M. Naveed; K. Narasimhan; M. Mezini","2023","2023 IEEE/ACM 2nd International Conference on AI Engineering – Software Engineering for AI (CAIN)","S3","10.1109/CAIN58948.2023.00031","Automatic code generation has recently attracted large attention and is becoming more significant to the software development process. Solutions based on Machine Learning and Artificial Intelligence are being used to increase human and software efficiency in potent and innovative ways. In this paper, we aim to leverage these developments and introduce a novel approach to generating frontend component code for the popular Angular framework. We propose to do this using behavior-driven development test specifications as input to a transformer-based machine learning model; however, we do not provide any proof-of-concept solution in this work. Our approach aims to drastically reduce the development time needed for web applications while potentially increasing software quality and introducing new research ideas toward automatic code generation.","machine learning;code generation;behavior driven development;software testing;transformer;artificial intelligence;software engineering;frontend","7.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-N - là VISION paper, chưa có kết quả thực nghiệm"
"34","Using GUI Test Videos to Obtain Stakeholders’ Feedback","J. Shi; J. Mönnich; J. Klünder; K. Schneider","2023","2023 IEEE/ACM International Conference on Software and System Processes (ICSSP)","S3","10.1109/ICSSP59042.2023.00014","In software projects, stakeholders can give valuable feedback on software demonstrations. Demonstrating software early and responding to feedback is crucial in agile development. However, it is difficult for stakeholders who are not on-site customers but end users, marketing people, or designers, etc. to give feedback in an agile development environment. Successful Graphical User Interface (GUI) tests, which show the working GUI with expected software behaviors, can be documented and then demonstrated for feedback. In our new concept, GUI tests are recorded, extended, and demonstrated as videos. A GUI test is divided into several GUI unit tests, which are specified in Gherkin, a semi-structured natural language. For each GUI unit test, a video is generated during test execution. Test steps specified in Gherkin are traced and highlighted in the video. Stakeholders review these generated videos and provide feedback, e.g., on misunderstandings of requirements or on inconsistencies. To evaluate the impact of videos in identifying inconsistencies, we asked 22 participants to identify inconsistencies between (1) given requirements in regular sentences and (2) demonstrated behaviors from videos with Gherkin specifications or from Gherkin specifications alone. Our results show that participants tend to identify more inconsistencies from demonstrated behaviors which are not in accordance with given requirements. They tend to recognize inconsistencies more easily through videos than through Gherkin specifications alone. We conclude that GUI test videos can help stakeholders give feedback more effectively. By obtaining early feedback, inconsistencies can be resolved, thus contributing to higher stakeholder satisfaction.","feedback;GUI test;video;agile","1.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - thu thập feedback từ video demo, không phải sinh test"
"35","An Exploratory Study on the Usage of Gherkin Features in Open-Source Projects","A. Chandorkar; N. Patkar; A. Di Sorbo; O. Nierstrasz","2022","2022 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","S3","10.1109/SANER53432.2022.00134","With behavior-driven development (BDD), domain experts describe system behavior and desired outcomes through natural language-like sentences, e.g., using the Gherkin language. BDD frameworks partially convert the content of Gherkin specifications into executable test code. Previous studies have reported several issues with the current BDD practice, for example long repetitive Gherkin specifications and slow-running test suites. Data tables and additional features were added to the Gherkin syntax to express compactly test inputs (e.g., provide different combinations of input values and desired outputs to run tests multiple times) and also to improve the readability of Gherkin files (henceforth called spec files). However, there is no empirical evidence about the actual usage of these Gherkin features. To fill this gap, we analyzed the content of 1,572 spec files extracted from 23 open-source projects. For each spec file, we collected a set of metrics modeling the structure and the usage of the different Gherkin features. We found that only a minority of the considered spec files (i.e., 590) used data tables that contain two rows, on average. We also used statistical tests to compare the contents of spec files with and without data tables and found significant differences between the two populations, especially for what concerns the number of lines of code (LoC). On the one hand, our results shed some light on the discrepancies between the recommendations for defining Gherkin specifications and their actual adoption in practice. On the other hand, our findings demonstrate that the adoption of additional features, such as data tables, might only partially help to reduce the length of Gherkin specifications.","BDD;behavior-driven development;collaborative testing;behavior verification","2.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-O - study về USAGE của Gherkin trong OSS, không phải generation (nhưng giữ làm reference cho Gherkin quality)"
"36","Application of Behavior Driven Development for Validation Testing (School Information System)","S. N. Hijriyani; S. Widowati; D. S. Kusumo","2022","2022 1st International Conference on Software Engineering and Information Technology (ICoSEIT)","S1","10.1109/ICoSEIT55604.2022.10030005","Before the software is handed over to the user, testing is needed to ensure the features created are in accordance with the needs, then validation testing is carried out. In this study, the validation test process will be carried out using the Behavior Driven Development (BDD) method by defining requirements into step by step scenarios according to user behavior towards the software. In this testing process, automated testing that is integrated with BDD will also be made using the Katalon Studio tools. The results of this study indicate that the implementation of BDD can be carried out in school information systems. The most visible impact is the description of requirements that is much more focused and detailed.","Behavior Driven Development (BDD);validation test;katalon studio","","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-N - case study áp dụng BDD thủ công cho School Info System, không có AI/generation"
"37","Approach to Generating Functional Test Cases from BPMN Process Diagrams","P. von Olberg; L. Strey","2022","2022 IEEE 30th International Requirements Engineering Conference Workshops (REW)","S1+S3","10.1109/REW56159.2022.00042","Business Process Model and Notation (BPMN) is a popular and widespread modelling language used to describe business processes. These BPMN business process models can serve as a foundation for functional software testing. Functional software testing is an important part of software development, which ensures that software works as expected and that it includes all the desired functionality, as defined in the process models. This position paper presents an approach and considers two different methods on how to automatically create functional test cases from BPMN business process models. The generated test cases shall be understandable for all stakeholders and abstracting from the technical implementation. To achieve this general understandability of the test cases, Gherkin is used as a test case definition language. The two proposed methods will be developed and evaluated in future work. This planned evaluation includes comparing the automatically created test cases with manually created ones.","BPMN;functional software testing;Gherkin;business process modelling","3.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - sinh test từ BPMN process diagram (không LLM, không từ user story Connextra)"
"38","A Requirement-based Regression Test Selection Technique in Behavior-Driven Development","J. Xu; Q. Du; X. Li","2021","2021 IEEE 45th Annual Computers, Software, and Applications Conference (COMPSAC)","S1+S3","10.1109/COMPSAC51774.2021.00182","Regression testing is an essential software maintenance activity before the release of a new version implementing a bug fix or a new feature. A regression test selection (RTS) technique chooses a subset of existing test cases to ensure that the system will not be adversely affected by the latest modifications. With the rise of DevOps, behavior-driven development (BDD) is growing in popularity as it is in close alignment with agile practices, for example, continuous integration. Hence, it is necessary to propose a novel and effective RTS technique for BDD specifically to accelerate the development process while ensuring software quality. Since most existing techniques for RTS are code-based and thus subject to some limitations, we present a requirement-based technique which uses the requirements in BDD to select test cases in both high-level (acceptance testing) and low-level (unit testing). Our technique firstly illustrates the new requirement with a scenario, and subsequently computes the semantic similarity of the new scenario and all existing scenarios with the vector space model. According to the results, the modification-traversing regression test cases can be selected in a semi-automated way. We also conduct an experimental study to evaluate our technique in terms of inclusiveness, precision, efficiency and generality. The study shows that our technique is applicable for BDD and effective in practice.","regression test selection;behavior-driven development;requirement-based technique;vector space model","6.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-O - regression test SELECTION, không phải generation"
"39","Integrated and Iterative Requirements Analysis and Test Specification: A Case Study at Kostal","C. Wiecher; J. Fischbadh; J. Greenyer; A. Vogelsang; C. Wolff; R. Dumitrescu","2021","2021 ACM/IEEE 24th International Conference on Model Driven Engineering Languages and Systems (MODELS)","S1","10.1109/MODELS50736.2021.00020","Currently, practitioners follow a top-down approach in automotive development projects. However, recent studies have shown that this top-down approach is not suitable for the implementation and testing of modern automotive systems. Specifically, practitioners increasingly fail to specify requirements and tests for systems with complex component interactions (e.g., e-mobility systems). In this paper, we address this research gap and propose an integrated and iterative scenario-based technique for the specification of requirements and test scenarios. Our idea is to combine both a top-down and a bottom-up integration strategy. For the top-down approach, we use a behavior-driven development (BDD) technique to drive the modeling of high-level system interactions from the user's perspective. For the bottom-up approach, we discovered that natural language processing (NLP) techniques are suited to make textual specifications of existing components accessible to our technique. To integrate both directions, we support the joint execution and automated analysis of system-level interactions and component-level behavior. We demonstrate the feasibility of our approach by conducting a case study at Kostal (Tierl supplier). The case study corroborates, among other things, that our approach supports practitioners in improving requirements and test specifications for integrated system behavior.","Requirements Analysis;Test Specification;Natural Language Processing;Scenario-based Requirements Engineering;Model-based Testing;Scenario-based Testing","7.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - automotive requirement/test specification, off-topic domain"
"40","Test-Oriented RESTful Service Discovery with Semantic Interface Compatibility","S. -P. Ma; Y. -J. Chen; Y. Syu; H. -J. Lin; Y. -Y. FanJiang","2021","IEEE Transactions on Services Computing","S3","10.1109/TSC.2018.2871133","Web API/service technology has been attracting considerable attention and the REST (REpresentational State Transfer) architecture is now widely accepted as mainstream technology. Nonetheless, developing the means by which to discover RESTful Web APIs/services is crucial to the further development of this technology. Unfortunately, existing search engines for RESTful Web APIs/services provide only keyword-based or tag-based search functions. A failure to take into account the semantics and/or characteristics (e.g., their interface compatibility) greatly hampers the ability to find suitable APIs/services. In this study, we propose a novel approach to the discovery of RESTful Web API/services, referred to as Test-Oriented API Search with Semantic Interface Compatibility (TASSIC). This scheme involves expanding the terms of Web API/service documents based on DBpedia and WordNet. Unsuitable APIs/services are then filtered out using a systematic process, as follows: 1) calculation of semantic similarity between a set of candidate APIs/services and a user query, 2) analysis of interface compatibility between candidate APIs/services using the Hungarian Algorithm, 3) invocation of candidate APIs/services to verify functionality and availability, and 4) analysis of similarity between the actual response of the candidate services and the expected response specified in the user query. The proposed TASSIC increases the likelihood of matching APIs/services that are semantically equivalent or similar to user queries. Unit test and acceptance test are used to verify that a set of candidate APIs/services are actually available and that they actually meets user requirements. Experiment results demonstrate the efficacy of TASSIC, the accuracy of which is superior to that of existing methods.","Acceptance testing;interface compatibility;RESTful service;service discovery;term expansion;unit testing","17.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - service discovery cho REST API, không phải BDD test generation"
"41","Towards Modelling Acceptance Tests as a Support for Software Measurement","A. Lapointe-Boisvert; S. Mosser; S. Trudel","2021","2021 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C)","S1","10.1109/MODELS-C53483.2021.00129","The DevOps paradigm emphasizes the need for a measurable feedback loop, starting from requirements and going as far as deployment in an automated way. In this context, a modelling challenge is to leverage the existing requirement engineering approaches to support measurements. Unfortunately, measurement methods are slow and costly by definition, preventing precisely measured requirements from being used in the DevOps loop. As a result, developers have to deal with grossly estimated elements, e.g., using story points promoted by agile methods. Thus, it is not possible to provide better support for the development team. We envision taking advantage of the artifacts that already exist in a DevOps context to provide better support for requirements measurement, making it available in an automated context such as the DevOps one. This paper focuses on the automated analysis of acceptance tests (e.g., expressed using the Gherkin language) to support functional measurement automation in a DevOps context. This proposition is illustrated by a scenario coming from an industrial partner, supporting the identification of four research challenges to be tackled.","measurements;acceptance tests;modelling","2.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - modelling acceptance test cho measurement (DevOps), không phải sinh test bằng AI"
"42","Tooling for automated testing of cyber-physical system models","T. Broenink; B. Jansen; J. Broenink","2020","2020 IEEE Conference on Industrial Cyberphysical Systems (ICPS)","S1","10.1109/ICPS48405.2020.9274794","This work presents a tool for automatic testing of cyber-physical systems via simulation. Cyber-physical system design can benefit from this automated testing as it allows for system-level requirements and prevents regression of the design. The tool is based on three parts: A testing language, a simulator controller, and a post processor. The testing language is a domain-specific language based on a Gherkin style syntax and can define test for multiple models and simulators. The domain specific language also defines algebraic, logical, and linear temporal logic transformations for outputs to define testing conditions. The tool can perform different sub-sets of tests based on a graphical or command line interface. The tool is demonstrated using an example where a motor is selected for a winch system. Here it is shown that the tool can verify component- and system-level requirements, and can detect regression. The tool is basis for a method supporting the design of cyber-physical systems.","","","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - testing cyber-physical system qua simulation, off-topic domain"
"43","Bridging the Gap between Requirements Modeling and Behavior-Driven Development","M. Alferez; F. Pastore; M. Sabetzadeh; L. Briand; J. -R. Riccardi","2019","2019 ACM/IEEE 22nd International Conference on Model Driven Engineering Languages and Systems (MODELS)","S1+S3","10.1109/MODELS.2019.00008","Acceptance criteria (AC) are implementation agnostic conditions that a system must meet to be consistent with its requirements and be accepted by its stakeholders. Each acceptance criterion is typically expressed as a natural-language statement with a clear pass or fail outcome. Writing AC is a tedious and error-prone activity, especially when the requirements specifications evolve and there are different analysts and testing teams involved. Analysts and testers must iterate multiple times to ensure that AC are understandable and feasible, and accurately address the most important requirements and workflows of the system being developed. In many cases, analysts express requirements through models, along with natural language, typically in some variant of the UML. AC must then be derived by developers and testers from such models. In this paper, we bridge the gap between requirements models and AC by providing a UML-based modeling methodology and an automated solution to generate AC. We target AC in the form of Behavioral Specifications in the context of Behavioral-Driven Development (BDD), a widely used agile practice in many application domains. More specially we target the well-known Gherkin language to express AC, which then can be used to generate executable test cases. We evaluate our modeling methodology and AC generation solution through an industrial case study in the financial domain. Our results suggest that (1) our methodology is feasible to apply in practice, and (2) the additional modeling effort required by our methodology is outweighed by the benefits the methodology brings in terms of automated and systematic AC generation and improved model precision.","Software testing;BDD;modeling;requirements engineering;text generation;Gherkin;FinTech","11.0","INCLUDE","IC-L, IC-Y, IC-T, IC-P, IC-I","Exclude","EC-O - sinh acceptance criteria từ requirement model (không LLM, không Gherkin output đầy đủ)"
"44","Transactional Behavior Verification in Business Process as a Service Configuration","S. Bourne; C. Szabo; Q. Z. Sheng","2019","IEEE Transactions on Services Computing","S3","10.1109/TSC.2017.2667662","Business Process as a Service (BPaaS) is an emerging type of cloud service that offers configurable and executable business processes to clients over the Internet. As BPaaS is still in early years of research, many open issues remain. Managing the configuration of BPaaS builds on areas such as software product lines and configurable business processes. The problem has concerns to consider from several perspectives, such as the different types of variable features, constraints between configuration options, and satisfying the requirements provided by the client. In our approach, we use temporal logic templates to elicit transactional requirements from clients that the configured service must adhere to. For formalizing constraints over configuration, feature models are used. To manage all these concerns during BPaaS configuration, we develop a structured process that applies formal methods while directing clients through specifying transactional requirements and selecting configurable features. The Binary Decision Diagram (BDD) analysis is then used to verify that the selected configurable features do not violate any constraints. Finally, model checking is applied to verify the configured service against the transactional requirement set. We demonstrate the feasibility of our approach with several validation scenarios and performance evaluations.","Business process as a service;formal methods;verification;transactional requirements;model checking","6.0","Unsure","Cần full-text xác nhận IC-P/IC-E","Exclude","EC-O - verify BPaaS configuration, không phải BDD test generation"
