paper_id,seq_id,Title,Authors,Year,Venue,Search_String,Link
QRQJLLRJ,34,"A process-centric review of large language models in graphical user interface testing: architectures, lifecycle impact, and challenges","MP Trong, NT Son, VT Giang, BH Viet, LN Hai… - PeerJ Computer …, 2026",2026.0,peerj.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://peerj.com/articles/cs-3695/
10.48550/arXiv.2509.05112,35,GenAI-based test case generation and execution in SDV platform,"D Zyberaj, L Mazur, N Petrovic, P Verma… - arXiv preprint arXiv …, 2025",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2509.05112
5SQEPGS1,36,Utilização de Chat Bots baseados em LLMs para automação de testes de software.,CM Oliveira,2024.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",http://monografias.ufop.br/handle/35400000/6440
29VVJFXC,37,XTestGen: Natural Language to Maintainable E2E Test Scripts with LLMs,"H Kirinuki, M Tajima… - 2025 IEEE International …, 2025",2025.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11186077/
9BIVOWYP,38,"… Testing: Test scenario and case generation with an AI model (gpt-3.5-turbo) using Prompt engineering, Fine-tuning and Retrieval augmented generation …",G Adu,2024.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://erepo.uef.fi/bitstreams/c1d2923d-b984-4f47-8608-084914ed020f/download
WT1B3JG3,39,Can llms generate user stories and assess their quality?,"G Quattrocchi, L Pasquale, P Spoletini… - IEEE Transactions on …, 2026",2026.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/11430705/
N8XMG0XP,40,Improving Software Quality Framework Using Artificial Intelligence Platforms,"SM Pendyala - AI Frameworks and Tools for Software Development, 2025",2025.0,igi-global.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.igi-global.com/chapter/improving-software-quality-framework-using-artificial-intelligence-platforms/377674
2XY7P23Z,41,SELF-INSTRUCT,"M Galloy, M Balfroid, B Vanderose, X Devroey",,xdevroey.be,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://xdevroey.be/publication/balfroid-2025/balfroid-2025.pdf
10.48550/arXiv.2605.14568,42,Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines,"AH Mughal, N Fatima, M Bilal - arXiv preprint arXiv:2605.14568, 2026",2026.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2605.14568
SNEI53VE,43,Automated Generation and Refinement of Agile User Stories from Game Design Documents Using Large Language Models,"W Khelifa, B Bouchard, G Imbeau - Proceedings of the 2026 9th …, 2026",2026.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3796315.3796330
