ID,Title,Authors,Year,Venue,Search_String,Link,v1_decision,v1_reason
TM762UOV,Leveraging text generation for enhanced user story quality,CA dos Santos,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://constellation.uqac.ca/id/eprint/10176/,EXCLUDE,"EC4: user story quality improvement, not Gherkin/acceptance test generation"
10.48550/arXiv.2602.15591,Req2Road: A GenAI Pipeline for SDV Test Artifact Generation and On-Vehicle Execution,"D Zyberaj, L Mazur, P Hirmer, N Petrovic",2026.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2602.15591,EXCLUDE,"EC4: SDV/automotive platform specific, not Gherkin from user story"
6WOH27MW,Human-LLM Collaborations for Modeling Requirements-Based Testing: An Initial Investigation,A Golla,2026.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://rave.ohiolink.edu/etdc/view?acc_num=ucin1778857143659977,UNSURE,May be relevant - needs full text review
CMGR1MRI,Large Language Model (LLM)-Based Automation for Software Test Script Generation,S Kavuri,2022.0,researchgate.net,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.researchgate.net/profile/Srikanth-Kavuri-2/publication/398737159_Large_Language_Model_LLM-Based_Automation_for_Software_Test_Script_Generation/links/69415b62a1fd01798908575f/Large-Language-Model-LLM-Based-Automation-for-Software-Test-Script-Generation.pdf,INCLUDE,
QD9OQX0L,Large language models for software testing: A research roadmap,"C Augusto, A Bertolino, G De Angelis, F Lonetti",2025.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/pdf/2509.25043,EXCLUDE,"EC4: general roadmap/survey, no experimental results - EC5"
10.48550/arXiv.2605.02455,LLM-Assisted Repository-Level Generation with Structured Spec-Driven Engineering,"S Feng, B Chen, BH Meyer, G Mussbacher",2026.0,arxiv.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://arxiv.org/abs/2605.02455,EXCLUDE,"EC4: repository-level code generation, not Gherkin/test generation"
OO6WMWNV,An empirical evaluation of using large language models for automated unit test generation,"M Schäfer, S Nadi, A Eghbali",2023.0,ieeexplore.ieee.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ieeexplore.ieee.org/abstract/document/10329992/,EXCLUDE,"EC4: unit test generation, not Gherkin/BDD acceptance test"
C96DIK22,"Evaluating LLM-Generated Test Scripts, Manual Test Development, and Capture-and-Replay Approaches for Testing XR Applications",SN Modarressi,2025.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://ucalgary.scholaris.ca/items/5a3886d3-bb4a-481c-9c50-20973901dd41,UNSURE,Compares LLM vs manual - needs full text review
XDAQFJJB,Automated derivation of uml sequence diagrams from user stories: Unleashing the power of generative ai vs. a rule-based approach,"M Jahan, MM Hassan, R Golpayegani",2024.0,dl.acm.org,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://dl.acm.org/doi/abs/10.1145/3640310.3674081,EXCLUDE,"EC4: UML diagram generation from user stories, not Gherkin test"
A85273MS,Integrating Model-Driven Engineering and Large Language Models for Test Scenario Generation for Smart Contracts,"I Al-Azzoni, S Iqbal, T Al Ashkar, Z Erum",2025.0,mdpi.com,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://www.mdpi.com/2078-2489/17/1/1,INCLUDE,
GPTE35RAG,"… Testing: Test scenario and case generation with an AI model (gpt-3.5-turbo) using Prompt engineering, Fine-tuning and Retrieval augmented generation …",G Adu,2024.0,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven"") AND (""generation"" OR ""automated"") AND (""LLM"" OR ""GPT"" OR ""large language model"") AND (""user story"" OR ""acceptance test"" OR ""test case"")",https://erepo.uef.fi/bitstreams/c1d2923d-b984-4f47-8608-084914ed020f/download,INCLUDE,
