id,title,authors,year,venue,search_string,v1_decision,v1_reason
85,Comparative Analysis of Large Language Model Tools for Automated Test Data Generation from BDD,Isela Mendoza|Fernando Antonio Grangeiro Filho|Gustavo de Medeiros|Aline Paes|Vânia de Oliveira Neves,2024,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
86,Agentic AI for Behavior-Driven Development Testing Using Large Language Models,Ciprian Păduraru|Miruna Zavelca|Alin Ştefănescu,2025,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
87,First Experiments on Automated Execution of Gherkin Test Specifications with Collaborating LLM Agents,Severin Bergsmann|Alexander Schmidt|Stefan Fischer|Rudolf Ramler,2024,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",EXCLUDE,EC4
88,Increasing Test Coverage by Automating BDD Tests in Proofs of Concepts (POCs) using LLM,Shexmo Santos|Raiane Eunice Santos Fernandes|Marcos Cesar Barbosa dos Santos|Michel S. Soares|Fábio Gomes Rocha|Sabrina Marczak,2024,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
89,DriveGPT4: Interpretable End-to-End Autonomous Driving Via Large Language Model,Zhenhua Xu|Yujia Zhang|Enze Xie|Zhao Zhen|Yong Guo|Kenneth K. Wong|Zhenguo Li|Hengshuang Zhao,2024,IEEE Robotics and Automation Letters,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
90,Cypress Copilot: Development of an AI Assistant for Boosting Productivity and Transforming Web Application Testing,Suresh Babu Nettur|Shanthi Karpurapu|Unnati Nettur|Likhit Sagar Gajja,2024,IEEE Access,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
91,From customer requirements to behavior driven development scenarios : a possible usecase of large language models in behavior driven development,Sebastian Lex,2025,FH JOANNEUM ePUB,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
92,An Experiment with Focus on Security Through Large- Language Models Using Behavior-Driven Development,Shexmo Santos|Tacyanne Pimentel|Marcus Silva|Luiz Carlos Santos Júnior|Fábio Gomes Rocha|Michel S. Soares,2025,Preprints.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
93,Conformant Planning via Symbolic Model Checking,A. Cimatti|M. Roveri,2000,Journal of Artificial Intelligence Research,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",EXCLUDE,IC2
94,FURTHER STUDIES ON THE PROTECTIVE ACTION OF BIPHENYL DIMETHYL-DICARBOXYLATE (BDD) AGAINST EXPERIMENTAL LIVER INJURY IN MICE,Huailing Wei,1982,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",EXCLUDE,IC2
95,A comparative experiment of the effectiveness of different LLM in generating Gherkin scenarios.,Hiago Natan Fernandes de. SOUSA,2025,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
96,Reverse-Engineering and Automating BDD for Modern Software Development with LLMs,Sagar B. Patel|Sajal Nigam|Shrikanth Mahale,2025,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
97,A Cloud–Edge Collaborative Architecture for Multimodal LLM-Based Advanced Driver Assistance Systems in IoT Networks,Yaqi Hu|Dongdong Ye|Jiawen Kang|Maoqiang Wu|Rong Yu,2024,IEEE Internet of Things Journal,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
98,AN INTEGRATED FRAMEWORK FOR AI-DRIVEN QUALITY ENGINEERING: SCALING TEST AUTOMATION THROUGH LARGE LANGUAGE MODELS AND BEHAVIOR-DRIVEN DEVELOPMENT,Dmytro RUMIANTSEV,2025,Information Technology Computer Science Software Engineering and Cyber Security,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
99,Automated Test Generation Using LLM Based on BDD: A Comparative Study,Shexmo Santos|Luiz Olavo Bonino da Silva Santos|Marcus Silva|Marcos Barbosa dos Santos|Maria Andréia Corrêa Mendonça|Marcos Santos|Marckson Santos|A Tavares Bastos|Sabrina Marczak|Michel S. Soares|Fábio Gomes Rocha,2025,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
100,From law to Gherkin: A human-centred quasi-experiment on the quality of LLM-generated behavioral specifications from food-safety regulations,Shabnam Hassani|Mehrdad Sabetzadeh|Daniel Amyot,2026,Information and Software Technology,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
101,Exploring Large Language Models for Requirements on String Values,Aren A. Babikian|Boqi Chen|Gunter Mussbacher,2025,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
102,Empowering Agile-Based Generative Software Development through Human-AI Teamwork,Sai Zhang|Zhenchang Xing|Ronghui Guo|Fangzhou Xu|L. Chen|Zhaoyuan Zhang|Xiaowang Zhang|Zhiyong Feng|Zhiqiang Zhuang,2025,ACM Transactions on Software Engineering and Methodology,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
103,Evaluating the Effectiveness of LLM Agents Generating API Implementations from Gherkin Scenarios: A Pilot Study,Miłosz Mertka|Michał Śmiałek,2026,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
104,Use of ChatGPT as an Assistant in the End-to-End Test Script Generation for Android Apps,Boni García|Maurizio Leotta|Filippo Ricca|Jim Whitehead,2024,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
105,"Replication package for the paper entitled ""From Law to Gherkin: A Human-Centred Quasi-Experiment on the Quality of LLM-Generated Behavioural Specifications from Food-Safety Regulations""",Shabnam Hassani|Mehrdad Sabetzadeh|Daniel Amyot,2026,Zenodo (CERN European Organization for Nuclear Research),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
106,Enhanced BLIP-2 Optimization Using LoRA for Generating Dashcam Captions,Minjun Cho|Tae Whan Kim|Dooho Choi|Yunsick Sung,2025,Applied Sciences,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
107,Unit Test Generation Multi-Agent AI System for Enhancing Software Documentation and Code Coverage,Dimitrije Stojanović|Bogdan Pavković|Nenad Četić|Momčilo Krunić|Luka Vidaković,2024,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
108,A Semantic Space is Worth 256 Language Descriptions: Make Stronger Segmentation Models with Descriptive Properties,Junfei Xiao|Ziqi Zhou|Wenxuan Li|Shiyi Lan|Jieru Mei|Zhiding Yu|Bingchen Zhao|Alan Yuille|Yuyin Zhou|Cihang Xie,2024,Lecture notes in computer science,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
109,Identity-free Artificial Emotional Intelligence via Micro-Gesture Understanding,Rong Gao|Xin Liu|Bohao Xing|Zitong Yu|Björn W. Schuller|Heikki Kälviäinen,2024,arXiv (Cornell University),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
110,Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,Sujeet Kumar Tiwari,2025,International Journal of Engineering and Architecture,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
111,LLM-based Behaviour Driven Development for Hardware Design,Rolf Drechsler|Qian Liu,2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
112,"SelfBehave, Generating a Synthetic Behaviour-Driven Development Dataset using SELF-INSTRUCT",Manon Galloy|Martin Balfroid|Benoît Vanderose|Xavier Devroey,2025,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
113,Technique to Baseline QE Artefact Generation Aligned to Quality Metrics,Eitan Farchi|Kiran Nayak|Papia Ghosh Majumdar|Saritha Route,2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
114,Feasibility of using ChatGPT to generate exposure hierarchies for body dysmorphic disorder: Proof-of-concept study (Preprint),Geneva K. Jonathan|Adam C. Jaroszewski|Heyli Arcese|Natasha H. Bailen|Ívar Snorrason|Anne Chosak|Jennifer Ragan|Susan E. Sprich|Jessica Rassmussen|Emily E. Bernstein|Sabine Wilhelm,2026,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
115,Behaviour Driven Development Scenario Generation with Large Language Models,Amila Rathnayake|Mojtaba Shahin|Golnoush Abaei,2026,Open MIND,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
116,Evaluasi Teknik Prompting pada Large Language Model untuk Otomatisasi Penyusunan Skenario Unit Testing Smart Contract,Salman El Farisi|Fahlia Athiyya Marva,2026,JTIM Jurnal Teknologi Informasi dan Multimedia,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
117,Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines,Ali Hassaan Mughal|Noor Fatima|Muhammad Bilal,2026,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
118,Evaluating LLM Driving Explanations through an Ego-Centric Scenario Taxonomy,Shengheng Yan|Tsvetomila Mihaylova,2026,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
119,Exploring Behavior-Driven Development for Code Generation,Yunhao Liang|Chengguang Gan|Ruixuan Ying|Zhe Cui,2025,Lecture notes in computer science,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
120,Towards Autoformalization of LLM-generated Outputs for Requirement Verification,Mihir Gupte|S Ramesh,2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
121,Automatisering av Behavior-Driven Development med stora språkmodeller : En undersökning om generering av testfall för Fintech,"Tesfalidet, Noel",2025,KTH Publication Database DiVA (KTH Royal Institute of Technology),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
122,Enhancing Legal Compliance and Regulation Analysis with Large Language Models,Shabnam Hassaniahari,2026,University of Ottawa - Library,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
123,Prompt Engineering for Analyzing Acceptance Criteria for Functional Requirements,Lloyd Rutledge|Koen van der Kruk,2025,Lecture notes in business information processing,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
124,DroidTraceGen,NILTON da Silva NASCIMENTO,2026,Figshare,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
125,"""Dataset for Robot framework""",Chi Thien Nguyen,2026,IEEE DataPort,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
126,"LLM-as-a-Judge for Scalable Test Coverage Evaluation: Accuracy, Operational Reliability, and Cost","Dejun Huang|Chew, Shila|Anna Dutkiewicz|Zhaoxia Wang",2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
127,Exploratory Study on Private GPTs for LLM-Driven Test Generation in Software and Machine Learning Development,Jakub Jagielski|Consuelo Rojas|Mark J. Abel,2025,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
128,Private GPTs for LLM-driven testing in software development and machine learning,Jakub Jagielski|Consuelo Rojas|Markus Abel,2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
129,Demonstração do DroidTraceGen,NILTON da Silva NASCIMENTO,2026,Figshare,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
130,How Software Testers Perceive Large Language Models: A Focus Group Study with Lexicometric Analysis,Izabella Silva|Mirko Perkusich|Danyllo Albuquerque|Kyller Gorgônio|Ângelo Perkusich,2025,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
131,Title Pending 10324,Cameron C. Yetman,2026,Ergo an Open Access Journal of Philosophy,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
132,Contract-based Automated Testing Framework for Event-Driven Microservices Utilizing Large Language Models,Burak Tutumlu,2025,İYTE (İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",INCLUDE,
133,Large Language Model Driven Agents for Simulating Echo Chamber Formation,Chenhao Gu|Ling Luo|Zainab Zaidi|Shanika Karunasekera,2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
134,GlitchMiner: Mining Glitch Tokens in Large Language Models via Gradient-based Discrete Optimization,Zihui Wu|Haichang Gao|Ping Wang|Shudong Zhang|Zhaoxiang Liu|Shiguo Lian,2026,Proceedings of the AAAI Conference on Artificial Intelligence,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
135,Generative AI-Based Software Testing Implementation Model in Agile Development Methodology: Systematic Literature Review,Linmas Ditasari|Teguh Raharjo,2026,Ranah Research Journal of Multidisciplinary Research and Development,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",EXCLUDE,IC5
136,DriveQA: Passing the Driving Knowledge Test,"Wei, Maolin|Wanzhou Liu|Eshed Ohn-Bar",2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
137,AutoMT: A Multi-Agent LLM Framework for Automated Metamorphic Testing of Autonomous Driving Systems,Linfeng Liang|Chenkai Tan|Yao Deng|Ying Cai|Tian-Yue Chen|Xi Zheng,2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
138,"Comparative Analysis of the Accuracy and Readability of the Answers Given by ChatGPT, DeepSeek and Gemini Artificial Intelligences about Penile Body Dysmorphic Disorder",Murat Demir|Muhammed Kotan|Muhammed Hamdi SARIHAN|Kasım Ertaş|Rahmi Aslan|Recep Eryılmaz|Kerem Taken,2026,Eastern Journal Of Medicine,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
139,Enhancing Security Control Production With Generative AI,Ling Chen|Mina Ghashami|Vianne R. Gao|Ali Torkamani|Ruslan Vaulin|Nivedita Mangam|Bhavya Jain|Farhan Diwan|Malini SS|Mingyue Cheng|S. D. Madhu Kumar|Felix Candelario,2024,arXiv (Cornell University),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
140,Observation on therapeutic efficiency of BDD in chronic hepatitis,YU Run-y,1986,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",EXCLUDE,IC2
141,Text to model via SysML: Automated generation of dynamical system computational models from unstructured natural language text via enhanced System Modeling Language diagrams,Matthew Anderson Hendricks|Alice Cicirello,2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
142,From Prompts to Pavement Through Time: Temporal Grounding in Agentic Scene-to-Plan Reasoning,Ahmed Y. Gado|Omar Y. Goba|Alaa Hassanein|Catherine M. Elias|Ahmed Salah Hussein,2026,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
143,Uncovering Strategic Egoism Behaviors in Large Language Models,Yaoyuan Zhang|Aishan Liu|Zonghao Ying|Xianglong Liu|Jiangfan Liu|Yisong Xiao|Qihang Zhang,2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
144,Req2Road: A GenAI Pipeline for SDV Test Artifact Generation and On-Vehicle Execution,Denesa Zyberaj|Lukasz Mazur|Pascal Hirmer|Nenad Petrović|Marco Aiello|Alois Knoll,2026,arXiv (Cornell University),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
145,"Therapeutic comparisons of wulingwan, schisandra fruit and biphenyl dimethyl dicarboxylale for chronic hapatitis B",Yong Zhou,1991,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",EXCLUDE,IC2
146,Large Language Model-Based Agents for Physical Activity and Cognitive Training: A Scoping Review (Preprint),Alessandro Silacci|Benedetta Giachetti|Leonardo Angelini|Nicola Francesco Lopomo|Giuseppe Andreoni|Elena Mugellini|Mauro Cherubini|Maurizio Caon,2025,,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
147,Towards explainable AI: multi-modal transformer for video-based image description generation,Lakshita Agarwal|Bindu Verma,2026,Signal Image and Video Processing,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
148,A modular retrieval-generation-feedback framework for large language model recommendation,Zhisheng Yang|Li Li,2026,Expert Systems with Applications,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
149,[Use of 2H-labeled compound and GC-MS in the isolation and identification of a metabolite of biphenyldimethyl-dicarboxylate in rat urine].,Xü Rm|Chao Han|Xie Jx|Song Zy,1990,PubMed,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",EXCLUDE,IC2
150,"Higher Profit, Lower Risk? How Large Language Models Shape Decision Behavior in Supply Chain Optimization",Thorsten Greil|Milena Janjevic|S. Schiffels|Samuel N. Kirshner,2025,SSRN Electronic Journal,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
151,A Semantic Space is Worth 256 Language Descriptions: Make Stronger Segmentation Models with Descriptive Properties,Junfei Xiao|Ziqi Zhou|Wenxuan Li|Shiyi Lan|Jieru Mei|Zhiding Yu|Alan Yuille|Yuyin Zhou|Cihang Xie,2023,arXiv (Cornell University),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
152,BASIL: Bayesian Assessment of Sycophancy in LLMs,Katherine Atwell|Pedram Heydari|Anthony Sicilia|Malihe Alikhani,2025,arXiv (Cornell University),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
153,GenAI-based test case generation and execution in SDV platform,"Denesa Zyberaj|Łukasz Mazur|Nenad Petrović|Pankhuri Verma|Pascal Hirmer|Dirk Slama|Cheng, Xiangwei|Alois Knoll",2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
154,A Visionary Architecture for Adaptive Data Contracts in Behavior-Driven IoT Systems,Moamin Abughazala|Henry Muccini,2025,Lecture notes in computer science,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
155,cukereuse-subscenarios: paraphrase-robust subsequence mining and three-scope refactoring-candidate ranking for Cucumber/Gherkin,Ali Hassaan Mughal|Noor Fatima|Muhammad Bilal,2026,Open MIND,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
156,mrilikecoding/llm-orc: v0.12.0 - MCP Server Architecture,Nate Green,2025,Zenodo (CERN European Organization for Nuclear Research),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
157,AI Sovereignty,Zhenyu Gao|Wenxi Jiang|Haohan Ren|Kemin Wang|Yuezhi Wu,2025,SSRN Electronic Journal,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
158,ARTIFICIAL INTELLIGENCE IN ASSESSING THE ABILITY OF ADOLESCENTS TO MAKE CONSTRUCTIVE DECISIONS IN A STRESSFUL SITUATION (ACCORDING TO PROFESSOR M. O. OVCHARENKO),Mykola OVCHARENKO|Leonid PINSKYY|Yevhen VERBYTSKYI,2025,Ukrains kyi Visnyk Psykhonevrolohii,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
159,mrilikecoding/llm-orc: v0.11.0 - Script Agent System,Nate Green,2025,Zenodo (CERN European Organization for Nuclear Research),"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
160,Disentangling Exploration of Large Language Models by Optimal Exploitation,"Tim Grams|Patrick Betz|Marton, Sascha|Lüdtke, Stefan|Bartelt, Christian",2025,ArXiv.org,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
161,Explainable AI for Clinical Data from EHR Using SHAP and LLM-Based Knowledge,Prerna Jamloki|Christina García|Haru Kaneko|Sozo Inoue,2026,Lecture notes in networks and systems,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
162,Lightweight Dual-Agent Architecture for 2-D Shadow Puppetry: Real-Time Edge Deployment and Evaluation,Qi Guo|Yixuan Li|Yaoxi Kuang|Chuanbo Qin|Tao Chen|Junying Zeng,2026,IEEE Access,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
163,"Evaluating Compound AI Systems through Behaviors, Not Benchmarks","Association for Computational Linguistics 2025|BHAGAT, PRANAV|Devaguptapu, Chaitanya|Panda, Pranoy|Shastry, K N Ajay",2025,Open MIND,"(""acceptance test"" OR ""test generation"") AND (""user story"" OR ""requirements"") AND (""LLM"" OR ""large language model"" OR ""GPT"" OR ""ChatGPT"")",UNSURE,
