id,title,author,year,venue,search string
EQRWJ2NJ,Classification of Testable and Valuable User Stories by using Supervised Machine Learning Classifiers,"Subedi, Ishan Mani; Singh, Maninder; Ramasamy, Vijayalakshmi; Walia, Gursimran Singh",2021,2021 IEEE International Symposium on Software Reliability Engineering Workshops (ISSREW),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
KBCSU4C2,On the question of a method for researching user requirements for software,"Липко, Юлия Юрьевна; Крымшокалова, Джульетта Абугалиевна; Шогенова, Залина Асланбековна; Лигидов, Джабар Аскерович",2021,"Вестник Адыгейского государственного университета, серия «Естественно-математические и технические науки»","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
B3MP9TMI,A New Standard for Doing Agile Scrum Team Work in Education,"Loke, Rob",2020,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
75ZC5B9Z,Decision Support System to Guide Use-Centric Cooperative,"Connected and Automated Mobility Deployments: The SINFONICA Knowledge Map Explorer,Antonakopoulou, Anna; Fokeas, Konstantinos; Tsougiannis, Evangelos; Krikochoriti, Maria; Amditis, Angelos",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
VRKU7NAD,Automated Classification and Identification of Non-Functional Requirements in Agile-Based Requirements Using Pre-Trained Language Models,"Alhaizaey, Abdulrahim; Al-Mashari, Majed",2025,IEEE Access,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
XWRJSTJW,Automated Derivation of UML Sequence Diagrams from User Stories: Unleashing the Power of Generative AI vs. a Rule-Based Approach,"Jahan, Munima; Hassan, Mohammad Mahdi; Golpayegani, Reza; Ranjbaran, Golshid; Roy, Chanchal; Roy, Banani; Schneider, Kevin",2024,Proceedings of the ACM/IEEE 27th International Conference on Model Driven Engineering Languages and Systems,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
SZYI2EIN,A ChatGPT-Powered Tool for Automating Context-Aware Acceptance Criteria Generation for User Stories,"Rawson, Jessica; Reddivari, Sandeep",2025,2025 IEEE International Conference on Information Reuse and Integration and Data Science (IRI),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
PWGHTZBZ,A Tool for Test Case Scenarios Generation Using Large Language Models,"Sami, Abdul Malik; Rasheed, Zeeshan; Waseem, Muhammad; Zhang, Zheying; Tomas, Herda; Abrahamsson, Pekka",2024,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
DLV7CNWQ,Automated Scriptless GUI Testing Aligned with Requirements and User Stories,"Karimi, Mohammadparsa",2024,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
P5QQYDLQ,Can LLMs Generate User Stories and Assess Their Quality?,"Quattrocchi, Giovanni; Pasquale, Liliana; Spoletini, Paola; Baresi, Luciano",2026,IEEE Transactions on Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
CTU25Y6M,Leveraging machines to derive domain models from user stories,"Bragilovski, Maxim; Van Can, Ashley T.; Dalpiaz, Fabiano; Sturm, Arnon",2025,Requirements Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
92EB6ZQS,<b>Generating user stories and acceptance criteria through extensions to the iStar framework</b>,"Narváez, Laura; Muelas, Francy; Pardo, César",2025,Periodicals of Engineering and Natural Sciences (PEN),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
NI2WYKG3,Leveraging RAG and LLMs for Access Control Policy Extraction From User Stories in Agile Software Development,"Aboukadri, Sara; Ouaddah, Aafaf; Mezrioui, Abdellatif; El Asri, Ikram",2025,IEEE Access,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
E5HQB9LU,From Reviews to Requirements: Can LLMs Generate Human-Like User Stories?,"Sakib, Shadman; Akhand, Oishy Fatema; Tasneem, Tasnia; Ahmed, Shohel",2026,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
IR7XWRV8,How Effective Is Automated Trace Link Recovery in Model-Driven Development?,"Rasiman, Randell; Dalpiaz, Fabiano; España, Sergio",2022,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
IJTBVBWH,Automating Voice-Based Conversations into Formal User Stories Using LLM and Speech Recognition,"Jayasingha, Chathura Prabath; Kumari, Suriyaa",2026,2026 6th International Conference on Advanced Research in Computing (ICARC),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
GMYAG47I,LLM-Driven Cloud-Based Infrastructure Design,"Sepielli, Andrea; Calamo, Marco; Bianchini, Filippo; De Luzi, Francesca; Marinacci, Matteo; Monti, Flavia; Rossi, Jacopo; Mecella, Massimo; Tamla, Philippe; Krause, Thomas; Hemmje, Matthias",2025,2025 IEEE International Conference on Bioinformatics and Biomedicine (BIBM),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
ELTG6PRQ,A Hybrid Requirements Engineering Methodology for Certification of Medical Device Software,"Del Hierro Cadena, Pablo F.",2025,2025 Fifth International Conference on Information Systems and Software Technologies (ICI2ST),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
XS3NG9DK,Effort estimation in scrum using AI,"Rasheed, Maria; Fatima, Iman; Fatima, Darain; Hamid, Muhammad; Hajjej, Fahima",2026,Automated Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
J9SZZCBJ,Automated Extraction of IoT Critical Objects from IoT Storylines,"Requirements and User Stories via NLP,Iglesias, Cristovão F.; Guo, Rongchen; Nucci, Pedro; Miceli, Claudio; Bolic, Miodrag",2023,2023 10th IEEE Swiss Conference on Data Science (SDS),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
K6KMUM4U,Text2Stories: Evaluating the Alignment Between Stakeholder Interviews and Generated User Stories,"Dente, Francesco; Dalpiaz, Fabiano; Papotti, Paolo",2025,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
3KPR7W39,Experimenting with Multi-Agent Software Development: Towards a Unified Platform,"Sami, Malik Abdul; Waseem, Muhammad; Rasheed, Zeeshan; Saari, Mika; Systä, Kari; Abrahamsson, Pekka",2024,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
G5Q46ZCW,Deriving Domain Models From User Stories: Human vs. Machines,"Bragilovski, Maxim; Van Can, Ashley T.; Dalpiaz, Fabiano; Sturm, Arnon",2024,2024 IEEE 32nd International Requirements Engineering Conference (RE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
KBYPDRPX,Extracting Domain Models from Textual Requirements in the Era of Large Language Models,"Arulmohan, Sathurshan; Meurs, Marie-Jean; Mosser, Sébastien",2023,2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems Companion (MODELS-C),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
A9EXK9MX,A Comparison of Transforming the User Stories and Functional Requirements into UML Use Case Diagram,"Molla, Md Monirul Islam; Ahmad, Johanna; Wan Kadir, Wan Mohd Nasir",2024,International Journal of Innovative Computing,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
UKBIQ52F,Automated Goal Model Extraction from User Stories Using NLP,"Gunes, Tugce; Aydemir, Fatma Basak",2020,2020 IEEE 28th International Requirements Engineering Conference (RE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
EBY8NUTX,An Information System Supporting Insurance Use Cases by Automated Anomaly Detection,"Reis, Thoralf; Kreibich, Alexander; Bruchhaus, Sebastian; Krause, Thomas; Freund, Florian; Bornschlegl, Marco X.; Hemmje, Matthias L.",2022,Big Data and Cognitive Computing,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
65YF8C9W,A software acceptance testing approach with accessibility for the deaf,"De Oliveira, Lívia Fernanda; Rodrigues, Cássio Leonardo; Silva, Karina Rocha Gomes Da",2025,Universal Access in the Information Society,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
TQX5JE3B,AutoWork 2021: Workshop on the Future of Work and Well-Being with Automated Vehicles,"Fröhlich, Peter; Schartmüller, Clemens; Wintersberger, Philipp; Riener, Andreas; Kun, Andrew L; Brewster, Stephen; Shaer, Orit; Baldauf, Matthias",2021,13th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
A734KDGK,AI-driven methodology for refining and clustering Agile requirements,"Nasiri, Samia; Lahmer, Mohammed",2024,"2024 4th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
CKKZ38PP,Which Combination of Test Metrics Can Predict Success of a Software Project? A Case Study in a Year-Long Project Course,"Filipovic, Marina; Gilson, Fabian",2024,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
7667INEY,AutoWork 2020: Second Workshop on the Future of Work and Well-Being in Automated Vehicles,"Schartmüller, Clemens; Wintersberger, Philipp; Riener, Andreas; Kun, Andrew L.; Brewster, Stephen; Shaer, Orit",2020,12th International Conference on Automotive User Interfaces and Interactive Vehicular Applications,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
5HI8R7MU,Workshop on Mixed Reality Applications for In-Vehicle Experiences in Automated Driving,"Riegler, Andreas; Riener, Andreas; Holzmann, Clemens",2021,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
7NP88Q66,Large Language Model (LLM)-Based Automation for Software Test Script Generation,Srikanth Kavuri,2022,Computer Fraud and Security,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
Q6D2I927,An NLP-based quality attributes extraction and prioritization framework in Agile-driven software development,"Ahmed, Mohsin; Khan, Saif Ur Rehman; Alam, Khubaib Amjad",2023,Automated Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
HRMJPGH9,A Named Entity Recognition Based Approach for Privacy Requirements Engineering,"Herwanto, Guntur Budi; Quirchmayr, Gerald; Tjoa, A Min",2021,2021 IEEE 29th International Requirements Engineering Conference Workshops (REW),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
VCJ5U47V,Automated deployment of machine learning applications to the cloud,"Radeck, Leon",2020,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
XZ6G3XBX,Evaluation of tools for describing,"reproducing and reusing scientific workflows,Diercks, Philipp; Gläser, Dennis; Lünsdorf, Ontje; Selzer, Michael; Flemisch, Bernd; Unger, Jörg F.",2022,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
RBGE6QXZ,PrivacyStory: Tool Support for Extracting Privacy Requirements from User Stories,"Herwanto, Guntur Budi; Quirchmayr, Gerald; Tjoa, A Min",2022,2022 IEEE 30th International Requirements Engineering Conference (RE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
URLGZVFN,Towards digitalization of requirements: generating context-sensitive user stories from diverse specifications,"Nistala, Padmalata V.; Rajbhoj, Asha; Kulkarni, Vinay; Soni, Shivani; Nori, Kesav V.; Reddy, Raghu",2022,Automated Software Engineering,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
M2RMGX5M,iMER: Iterative process of entity relationship and business process model extraction from the requirements,"Javed, Muhammad; Lin, Yuqing",2021,Information and Software Technology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
M8EWBUTB,Transitioning from motivational goal models to user stories within user-centred software design,"Oliveira, E.; Maram, Varsha; Sterling, L.",2021,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
RZ72UHHL,A Web Accessibility Requirements Framework for Agile Development,"Miranda, Darliane",2021,2021 IEEE 29th International Requirements Engineering Conference (RE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
2JZXXJVV,Requirements Engineering in the DevOps Era,"Mosser, Sebastien; Bruel, Jean-Michel",2021,2021 IEEE 29th International Requirements Engineering Conference (RE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
XUVD64RX,THE ROLE OF SOFTWARE TESTING FOR TEAM DEVELOPMENT,"Vavilenkova, Anastasiia",2021,Bulletin of the National Technical University «KhPI» Series: New solutions in modern technologies,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
SQL28KZN,Preface: 3rd Workshop on Natural Language Processing for Requirements Engineering (NLP4RE 2020),"Abualhaija, Sallam; Fucci, D.; Dalpiaz, F.; Franch, Xavier",2020,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
BU7FWN95,Visualisation of User Stories to UML use Case Diagram,"Mornie, Mohammad Nazrul; Jali, Nurfauza; Cheah, Wai Shiang; Mit, Edwin; Saee, Suhaila; Jali, Suriati Khartini; Greer, Desmond",2025,Journal of Advanced Research in Applied Sciences and Engineering Technology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
29VDYRL5,Exploring the Use of LLMs for Requirements Specification in an IT Consulting Company,"Pasquale, Liliana; Ragone, Azzurra; Piemontese, Emanuele; Darban, Armin Amiri",2025,2025 IEEE 33rd International Requirements Engineering Conference (RE),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
662NIBQF,A Data-Driven Recommendation System for Enhancing Non-Functional Requirements Elicitation in Scrum-Based Projects,"Ramos, Felipe; Costa, Alexandre; Perkusich, Mirko; Silva, Luiz; Valadares, Dalton; Neto, Ademar De Sousa; Cunha, Felipe; Almeida, Hyggo; Perkusich, Angelo",2025,IEEE Access,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
E3B8NLNB,Framework for DevSecOps Implementation in Agile Environments,"Thummala, Venkata Reddy; Singh, Dr S P",2025,Journal of Quantum Science and Technology,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
EDIUKJ7H,Leveraging NLP Techniques for Privacy Requirements Engineering in User Stories,"Herwanto, Guntur Budi; Quirchmayr, Gerald; Tjoa, A. Min",2024,IEEE Access,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
6HG69UIJ,Formal Model Change Management for Avionics Systems Development: Leveraging CRUD-Based Storage for Consistency & Reliability,"Tietz, Vanessa; Annighoefer, Bjoern",2025,2025 AIAA DATC/IEEE 44th Digital Avionics Systems Conference (DASC),"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
AMFM8SVG,LLM-Empowered Scriptless Functional Testing,"Van Hooren, Colin; Ricós, Fernando Pastor; Bromuri, Stefano; Vos, Tanja E. J.; Marín, Beatriz",2025,"2025 25th International Conference on Software Quality, Reliability and Security (QRS)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
A2GITJUH,Feedforward neural network (FNN) for Binary Classification of AI-Implementable User Stories,"Gaona Cuevas, Carlos Mauricio; Bucheli Guerrero, Víctor; Vera Rivera, Fredy Humberto",2025,Investigación e Innovación en Ingenierías,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
RPU6UI9E,Acceptance Criteria Validation in Agile Projects Using AI and NLP Techniques:,"Gomes Da Silva, Ana; Sales, Afonso; Rocha, Fabio",2025,Proceedings of the 27th International Conference on Enterprise Information Systems,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
UHQKCYBX,NATURAL LANGUAGE PROCESSING PIPELINE FOR CO-DESIGNING CULTURALLY AWARE HEALTH CHATBOTS FROM USER STORIES TO SYSTEM SPECIFICATIONS,"Gabriel Orugboh, Oritsemeyiwa",2025,"International Journal of Computer Science, Engineering and Applications","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
DN46DD35,AI based Multiagent Approach for Requirements Elicitation and Analysis,"Sami, Malik Abdul; Waseem, Muhammad; Zhang, Zheying; Rasheed, Zeeshan; Systä, Kari; Abrahamsson, Pekka",2024,,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
8EIWW7L3,LLM-Based Class Diagram Derivation from User Stories with Chain-of-Thought Promptings,"Li, Yishu; Keung, Jacky; Ma, Xiaoxue; Chong, Chun Yong; Zhang, Jingyu; Liao, Yihan",2024,"2024 IEEE 48th Annual Computers, Software, and Applications Conference (COMPSAC)","(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
KPATKQ24,ChainAgile: A framework for the improvement of Scrum Agile distributed software development based on blockchain,"Qureshi, Junaid Nasir; Farooq, Muhammad Shoaib",2024,PLOS ONE,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
VLXUPFMV,Development of a web-oriented system for accounting and analysing personal finances,"Hrytsenko, Кostiantyn; Shramko, Elina; Hrytsenko, Avhusta",2024,Economic Analysis,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
INCE7RB6,Establishing Metrics to Encourage Broader Use of Atomic Requirements - A Call for Exchange and Experimentation,"Honig, William L.",2024,ACM SIGSOFT Software Engineering Notes,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
PNVPDHKB,Collab2US: a Tool for Collecting User Stories from Collaborative Boards,"Dornelles, Pedro Lucas; Parizi, Rafael",2024,Anais do Workshop em Engenharia de Requisitos,"(""Gherkin"" OR ""BDD"" OR ""behavior-driven development"") AND (""generation"" OR ""automated"") AND (""user story"" OR ""requirements"")"
